Date,Price,Open,High,Low,Vol.,Change %
2022-08-02,81.98,80.33,82.19,79.87,11.33K,1.67%
2022-08-01,80.63,78.1,80.83,78.1,10.51K,2.49%
2022-07-29,78.67,78.96,79.5,77.57,11.48K,-0.04%
2022-07-28,78.7,76.07,80.1,76.07,14.23K,3.19%
2022-07-27,76.27,76.61,77.79,75.8,13.54K,-0.64%
2022-07-26,76.76,76.51,77.5,75.85,16.04K,0.55%
2022-07-25,76.34,76.09,78.42,75.5,17.54K,0.25%
2022-07-22,76.15,77.9,79.8,76.0,18.43K,-2.50%
2022-07-21,78.1,79.19,79.79,77.65,22.48K,-1.15%
2022-07-20,79.01,83.6,83.64,78.7,27.69K,-5.16%
2022-07-19,83.31,84.69,84.82,82.81,16.72K,-1.41%
2022-07-18,84.5,85.0,85.41,83.76,10.36K,-0.60%
2022-07-15,85.01,83.53,85.74,83.51,11.61K,1.59%
2022-07-14,83.68,84.1,84.79,83.26,9.82K,0.05%
2022-07-13,83.64,86.04,86.57,83.56,13.57K,-2.76%
2022-07-12,86.01,84.6,86.05,83.38,12.01K,1.97%
2022-07-11,84.35,82.75,84.61,82.7,9.94K,2.01%
2022-07-08,82.69,84.8,85.0,82.6,10.67K,-2.03%
2022-07-07,84.4,83.17,85.46,82.76,13.10K,0.90%
2022-07-06,83.65,83.19,84.63,82.7,11.71K,1.09%
2022-07-05,82.75,84.99,84.99,82.53,10.91K,-2.22%
2022-07-04,84.63,86.67,87.17,83.74,11.28K,-1.80%
2022-07-01,86.18,89.29,90.35,85.02,16.78K,-3.72%
2022-06-30,89.51,88.1,90.33,87.32,13.55K,0.97%
2022-06-29,88.65,87.42,90.06,87.11,15.87K,0.67%
2022-06-28,88.06,84.51,88.06,83.8,13.65K,4.20%
2022-06-27,84.51,83.5,85.7,83.01,12.37K,0.84%
2022-06-24,83.81,84.28,84.46,83.01,11.80K,-0.45%
2022-06-23,84.19,81.55,84.25,81.55,13.87K,2.68%
2022-06-22,81.99,84.6,84.8,81.27,18.45K,-3.10%
2022-06-21,84.61,84.33,85.41,83.54,11.28K,0.71%
2022-06-20,84.01,83.5,85.3,82.97,11.40K,2.30%
2022-06-17,82.12,83.0,84.15,81.83,11.96K,-1.06%
2022-06-16,83.0,86.01,86.76,82.15,14.81K,-3.88%
2022-06-15,86.35,83.26,86.94,83.16,16.55K,2.76%
2022-06-14,84.03,81.79,84.5,81.25,13.94K,2.66%
2022-06-13,81.85,82.03,82.24,79.81,12.84K,-1.15%
2022-06-10,82.8,81.09,82.8,80.18,12.57K,2.11%
2022-06-09,81.09,80.3,82.18,79.41,15.42K,1.06%
2022-06-08,80.24,80.72,81.98,79.1,20.30K,-0.82%
2022-06-07,80.9,82.07,82.79,80.65,11.97K,-1.47%
2022-06-06,82.11,87.21,87.21,81.24,14.18K,-5.72%
2022-06-03,87.09,86.34,87.33,85.99,4.57K,1.02%
2022-06-02,86.21,86.15,88.64,85.62,8.33K,-0.24%
2022-06-01,86.42,84.22,87.58,83.81,13.23K,2.87%
2022-05-31,84.01,84.0,84.96,83.5,9.98K,0.97%
2022-05-30,83.2,84.36,85.05,83.09,8.65K,-0.93%
2022-05-27,83.98,84.9,85.33,83.45,7.78K,-1.34%
2022-05-26,85.12,81.11,85.18,81.11,7.76K,4.44%
2022-05-25,81.5,80.93,82.63,80.29,10.40K,0.82%
2022-05-24,80.84,77.9,82.66,77.4,17.02K,3.88%
2022-05-23,77.82,80.16,82.67,77.8,17.17K,-3.17%
2022-05-20,80.37,83.5,84.2,80.16,15.78K,-3.13%
2022-05-19,82.97,84.38,85.55,80.16,20.65K,-1.98%
2022-05-18,84.65,88.75,90.0,82.78,29.69K,-8.23%
2022-05-17,92.24,90.37,92.75,89.62,15.30K,2.22%
2022-05-16,90.24,87.63,90.35,87.63,12.02K,1.99%
2022-05-13,88.48,88.07,90.5,87.6,11.94K,0.36%
2022-05-12,88.16,88.83,89.05,86.75,15.03K,-1.17%
2022-05-11,89.2,87.52,90.0,82.1,25.57K,1.92%
2022-05-10,87.52,86.72,88.69,85.75,14.95K,0.74%
2022-05-09,86.88,92.0,92.22,86.52,22.32K,-5.34%
2022-05-06,91.78,89.63,92.36,88.4,16.29K,3.14%
2022-05-05,88.99,88.7,91.99,86.82,22.11K,1.19%
2022-05-04,87.94,88.21,89.32,85.98,16.57K,-0.58%
2022-05-03,88.45,83.3,89.06,82.72,17.67K,6.46%
2022-05-02,83.08,83.59,84.89,82.44,9.74K,-1.62%
2022-04-29,84.45,82.97,85.84,82.29,16.07K,2.14%
2022-04-28,82.68,81.48,83.67,79.9,20.23K,2.06%
2022-04-27,81.01,81.25,81.94,78.8,22.30K,-2.06%
2022-04-26,82.71,84.58,85.25,81.95,22.85K,-0.90%
2022-04-25,83.46,88.09,88.32,82.3,24.04K,-6.21%
2022-04-22,88.99,85.99,89.89,85.75,22.33K,2.95%
2022-04-21,86.44,86.5,87.69,85.58,14.75K,-1.57%
2022-04-20,87.82,80.44,88.5,79.79,30.56K,9.50%
2022-04-19,80.2,80.14,80.95,79.52,18.38K,0.29%
2022-04-14,79.97,77.38,80.25,77.38,15.28K,3.27%
2022-04-13,77.44,79.17,79.17,77.23,15.19K,-1.99%
2022-04-12,79.01,77.65,79.29,76.85,16.03K,1.36%
2022-04-11,77.95,79.75,80.16,77.55,16.22K,-2.67%
2022-04-08,80.09,79.63,80.98,79.51,13.93K,0.19%
2022-04-07,79.94,77.17,80.4,76.34,19.50K,3.58%
2022-04-06,77.18,78.01,79.56,76.71,19.74K,-1.11%
2022-04-05,78.05,78.76,78.94,77.44,17.90K,-0.57%
2022-04-04,78.5,78.22,79.4,77.14,15.61K,0.01%
2022-04-01,78.49,77.0,79.88,76.34,16.91K,2.63%
2022-03-31,76.48,78.51,80.5,75.35,35.66K,-2.34%
2022-03-30,78.31,81.05,81.62,76.8,37.77K,-4.15%
2022-03-29,81.7,80.9,81.99,80.17,25.58K,1.10%
2022-03-28,80.81,78.7,81.99,77.87,22.02K,2.81%
2022-03-25,78.6,78.26,79.06,77.23,18.50K,0.46%
2022-03-24,78.24,76.62,79.24,75.9,16.43K,2.14%
2022-03-23,76.6,80.9,81.3,75.85,30.57K,-5.05%
2022-03-22,80.67,79.05,81.4,78.61,18.47K,2.91%
2022-03-21,78.39,78.72,79.74,77.52,13.94K,-0.63%
2022-03-18,78.89,80.0,80.0,78.32,19.04K,-1.25%
2022-03-17,79.89,79.18,80.19,76.32,23.82K,2.21%
2022-03-16,78.16,77.51,79.11,75.25,22.57K,0.94%
2022-03-15,77.43,77.0,79.15,75.01,24.73K,-1.09%
2022-03-14,78.28,76.0,81.5,75.81,19.37K,1.98%
2022-03-11,76.76,75.93,78.0,73.71,22.27K,0.46%
2022-03-10,76.41,72.53,76.68,69.52,32.70K,4.41%
2022-03-09,73.18,68.02,74.67,67.22,36.12K,6.82%
2022-03-08,68.51,57.4,69.29,56.5,38.50K,17.51%
2022-03-07,58.3,64.29,64.29,56.82,47.75K,-10.45%
2022-03-04,65.1,66.0,68.74,64.3,35.93K,-3.34%
2022-03-03,67.35,68.7,69.49,63.49,40.64K,-1.66%
2022-03-02,68.49,70.55,70.96,55.0,78.46K,-0.52%
2022-03-01,68.85,82.6,84.43,66.0,78.66K,-16.25%
2022-02-28,82.21,85.94,86.0,80.12,36.02K,-6.73%
2022-02-25,88.14,88.24,89.7,87.06,20.87K,1.28%
2022-02-24,87.03,95.0,95.0,86.15,49.74K,-8.46%
2022-02-23,95.07,89.79,95.56,89.54,30.15K,5.90%
2022-02-22,89.77,89.9,90.28,88.1,22.31K,0.10%
2022-02-21,89.68,89.07,90.95,88.02,19.95K,0.23%
2022-02-18,89.47,86.16,89.66,86.16,21.37K,3.51%
2022-02-17,86.44,89.84,90.45,85.8,31.59K,-3.81%
2022-02-16,89.86,90.29,91.21,87.77,31.05K,-1.40%
2022-02-15,91.14,91.48,92.75,90.31,26.15K,-0.68%
2022-02-14,91.76,93.7,94.0,89.9,23.37K,-1.20%
2022-02-11,92.87,90.5,93.38,88.5,24.98K,2.30%
2022-02-10,90.78,91.45,93.42,89.25,28.87K,-0.01%
2022-02-09,90.79,96.29,97.6,90.26,35.63K,-6.33%
2022-02-08,96.93,97.0,98.49,95.25,30.32K,0.24%
2022-02-07,96.7,96.62,96.8,93.7,24.30K,0.26%
2022-02-04,96.45,94.89,97.5,94.44,27.89K,1.73%
2022-02-03,94.81,94.25,94.94,93.1,22.09K,0.64%
2022-02-02,94.21,90.0,94.62,89.6,40.36K,5.24%
2022-02-01,89.52,89.74,89.94,87.16,22.35K,0.31%
2022-01-31,89.24,89.37,89.95,88.1,17.72K,0.02%
2022-01-28,89.22,89.4,90.63,88.88,19.66K,-0.60%
