Date,carbon futures
2012-01-02,7.14
2012-01-03,6.28
2012-01-04,6.27
2012-01-05,6.43
2012-01-06,6.3
2012-01-09,11.0
2012-01-10,6.84
2012-01-11,6.75
2012-01-12,6.92
2012-01-13,6.73
2012-01-16,6.47
2012-01-17,6.48
2012-01-18,6.61
2012-01-19,7.07
2012-01-20,7.02
2012-01-23,6.86
2012-01-24,7.26
2012-01-25,7.33
2012-01-26,7.49
2012-01-27,7.97
2012-01-30,7.55
2012-01-31,7.84
2012-02-01,8.26
2012-02-02,8.53
2012-02-03,8.29
2012-02-06,8.49
2012-02-07,8.53
2012-02-08,8.12
2012-02-09,7.79
2012-02-10,7.71
2012-02-13,7.46
2012-02-14,7.89
2012-02-15,8.14
2012-02-16,8.77
2012-02-17,9.04
2012-02-20,8.54
2012-02-21,8.96
2012-02-22,8.93
2012-02-23,8.62
2012-02-24,9.19
2012-02-27,9.28
2012-02-28,8.8
2012-02-29,8.34
2012-03-01,8.65
2012-03-02,8.83
2012-03-05,8.62
2012-03-06,8.35
2012-03-07,8.4
2012-03-08,8.25
2012-03-09,7.9
2012-03-12,7.66
2012-03-13,7.62
2012-03-14,7.95
2012-03-15,7.83
2012-03-16,7.6
2012-03-19,7.62
2012-03-20,7.02
2012-03-21,7.26
2012-03-22,6.71
2012-03-23,6.87
2012-03-26,6.84
2012-03-27,7.12
2012-03-28,7.04
2012-03-29,6.71
2012-03-30,6.98
2012-04-02,6.21
2012-04-03,6.35
2012-04-04,6.08
2012-04-05,6.68
2012-04-10,6.78
2012-04-11,6.92
2012-04-12,7.06
2012-04-13,7.12
2012-04-16,6.79
2012-04-17,7.05
2012-04-18,7.2
2012-04-19,7.33
2012-04-20,7.32
2012-04-23,7.07
2012-04-24,7.07
2012-04-25,7.03
2012-04-26,7.22
2012-04-27,7.24
2012-04-30,7.48
2012-05-01,11.14
2012-05-02,7.12
2012-05-03,7.06
2012-05-04,6.6
2012-05-07,6.61
2012-05-08,6.74
2012-05-09,6.68
2012-05-10,6.65
2012-05-11,6.73
2012-05-14,6.56
2012-05-15,6.45
2012-05-16,6.5
