Date,Open,High,Low,Close
2012-01-03,99.7,103.18,99.65,102.96
2012-01-04,102.99,103.74,101.88,103.22
2012-01-05,103.29,103.73,101.3,101.81
2012-01-06,101.35,102.8,100.88,101.56
2012-01-09,101.92,102.15,100.1,101.31
2012-01-10,101.3,103.41,101.3,102.24
2012-01-11,102.2,102.46,100.55,100.87
2012-01-12,101.0,102.98,98.5,99.1
2012-01-13,99.2,100.19,97.7,98.7
2012-01-17,98.95,101.01,98.6,100.71
2012-01-18,100.91,102.06,99.84,100.59
2012-01-19,101.14,102.06,99.98,100.39
2012-01-20,100.39,100.74,97.91,98.46
2012-01-23,98.34,100.24,97.4,99.58
2012-01-24,99.88,100.18,98.25,98.95
2012-01-25,99.2,100.4,97.53,99.4
2012-01-26,99.96,101.39,99.23,99.7
2012-01-27,99.93,100.63,99.13,99.56
2012-01-30,100.0,100.05,98.43,98.78
2012-01-31,98.88,101.29,97.86,98.48
2012-02-01,98.38,99.49,97.11,97.61
2012-02-02,97.11,97.99,95.44,96.36
2012-02-03,96.61,98.03,96.01,97.84
2012-02-06,97.74,97.75,96.38,96.91
2012-02-07,97.13,99.13,95.84,98.41
2012-02-08,98.77,100.09,98.1,98.71
2012-02-09,99.1,100.18,98.66,99.84
2012-02-10,99.89,99.89,97.32,98.67
2012-02-13,99.33,100.87,99.09,100.91
2012-02-14,100.73,101.84,100.28,100.74
2012-02-15,100.9,102.54,100.61,101.8
2012-02-16,101.9,102.69,100.84,102.31
2012-02-17,102.35,104.14,102.25,103.24
2012-02-21,104.65,106.07,104.26,105.84
2012-02-22,106.01,106.72,105.61,106.28
2012-02-23,105.95,108.74,105.45,107.83
2012-02-24,108.66,109.95,107.95,109.77
2012-02-27,109.67,109.77,107.27,108.56
2012-02-28,107.95,108.79,106.3,106.55
2012-02-29,106.46,107.43,104.84,107.07
2012-03-01,106.82,110.55,106.55,108.84
2012-03-02,108.75,109.03,105.8,106.7
2012-03-05,106.75,107.42,105.5,106.72
2012-03-06,107.11,107.34,104.51,104.7
2012-03-07,104.93,106.55,104.35,106.16
2012-03-08,106.24,107.2,105.84,106.58
2012-03-09,106.91,108.2,106.13,107.4
2012-03-12,107.5,107.56,105.38,106.34
2012-03-13,106.55,107.35,105.67,106.71
2012-03-14,106.69,107.02,105.12,105.43
2012-03-15,105.5,106.18,103.78,105.11
2012-03-16,105.44,107.34,105.13,107.06
2012-03-19,107.18,108.24,106.55,108.09
2012-03-20,107.82,107.91,105.35,105.61
2012-03-21,106.33,107.64,106.06,107.27
2012-03-22,106.81,107.12,104.5,105.35
2012-03-23,105.52,108.25,105.16,106.87
2012-03-26,106.79,107.32,106.19,107.03
2012-03-27,107.09,107.73,106.52,107.33
2012-03-28,106.81,106.94,104.67,105.41
2012-03-29,105.58,105.7,102.13,102.78
2012-03-30,103.29,104.15,102.78,103.02
2012-04-02,103.27,105.49,102.06,105.23
2012-04-03,105.04,105.18,103.59,104.01
2012-04-04,104.09,104.12,101.08,101.47
2012-04-05,101.96,103.4,101.37,103.31
2012-04-09,102.53,102.6,100.81,102.46
2012-04-10,102.33,102.96,100.68,101.02
2012-04-11,100.94,103.13,100.84,102.7
2012-04-12,102.55,104.24,102.39,103.64
2012-04-13,103.66,103.9,102.61,102.83
2012-04-16,102.8,103.37,101.8,102.93
2012-04-17,103.15,105.07,102.66,104.2
2012-04-18,104.22,104.51,102.19,102.67
2012-04-19,102.73,103.21,101.67,102.27
2012-04-20,102.57,104.27,102.45,103.05
2012-04-23,103.82,103.9,101.82,103.11
2012-04-24,103.11,104.1,102.79,103.55
2012-04-25,103.76,104.57,103.11,104.12
2012-04-26,103.96,104.92,103.84,104.55
2012-04-27,104.1,105.0,103.74,104.93
2012-04-30,104.93,105.16,103.88,104.87
2012-05-01,104.89,106.43,104.39,106.16
2012-05-02,105.98,106.05,104.91,105.22
2012-05-03,105.39,105.42,102.36,102.54
2012-05-04,102.59,102.72,97.51,98.49
2012-05-07,98.05,98.24,95.34,97.94
2012-05-08,97.96,98.12,95.52,97.01
2012-05-09,97.38,97.39,95.17,96.81
2012-05-10,96.45,97.69,96.08,97.08
2012-05-11,96.53,97.2,95.56,96.13
