Month,Price,Change,month_name,year,month_name2
Jul 1992,120.0,-,Jul,1992,July
Aug 1992,120.0,0.00%,Aug,1992,August
Sep 1992,120.0,0.00%,Sep,1992,September
Oct 1992,116.88,-2.60%,Oct,1992,October
Nov 1992,107.5,-8.03%,Nov,1992,November
Dec 1992,103.75,-3.49%,Dec,1992,December
Jan 1993,102.5,-1.20%,Jan,1993,January
Feb 1993,102.5,0.00%,Feb,1993,February
Mar 1993,86.2,-15.90%,Mar,1993,March
Apr 1993,81.0,-6.03%,Apr,1993,April
May 1993,81.0,0.00%,May,1993,May
Jun 1993,81.0,0.00%,Jun,1993,June
Jul 1993,81.0,0.00%,Jul,1993,July
Aug 1993,81.0,0.00%,Aug,1993,August
Sep 1993,81.0,0.00%,Sep,1993,September
Oct 1993,81.0,0.00%,Oct,1993,October
Nov 1993,82.8,2.22%,Nov,1993,November
Dec 1993,85.5,3.26%,Dec,1993,December
Jan 1994,85.5,0.00%,Jan,1994,January
Feb 1994,85.5,0.00%,Feb,1994,February
Mar 1994,98.63,15.36%,Mar,1994,March
Apr 1994,103.5,4.94%,Apr,1994,April
May 1994,103.5,0.00%,May,1994,May
Jun 1994,103.5,0.00%,Jun,1994,June
Jul 1994,106.5,2.90%,Jul,1994,July
Aug 1994,88.0,-17.37%,Aug,1994,August
Sep 1994,88.0,0.00%,Sep,1994,September
Oct 1994,88.0,0.00%,Oct,1994,October
Nov 1994,88.0,0.00%,Nov,1994,November
Dec 1994,88.0,0.00%,Dec,1994,December
Jan 1995,159.6,81.36%,Jan,1995,January
Feb 1995,177.5,11.22%,Feb,1995,February
Mar 1995,191.25,7.75%,Mar,1995,March
Apr 1995,205.0,7.19%,Apr,1995,April
May 1995,159.0,-22.44%,May,1995,May
Jun 1995,90.0,-43.40%,Jun,1995,June
Jul 1995,90.0,0.00%,Jul,1995,July
Aug 1995,90.0,0.00%,Aug,1995,August
Sep 1995,90.0,0.00%,Sep,1995,September
Oct 1995,90.0,0.00%,Oct,1995,October
Nov 1995,90.0,0.00%,Nov,1995,November
Dec 1995,90.0,0.00%,Dec,1995,December
Jan 1996,90.0,0.00%,Jan,1996,January
Feb 1996,90.0,0.00%,Feb,1996,February
Mar 1996,90.0,0.00%,Mar,1996,March
Apr 1996,160.4,78.22%,Apr,1996,April
May 1996,169.5,5.67%,May,1996,May
Jun 1996,172.13,1.55%,Jun,1996,June
Jul 1996,184.5,7.19%,Jul,1996,July
Aug 1996,187.0,1.36%,Aug,1996,August
Sep 1996,181.4,-2.99%,Sep,1996,September
Oct 1996,172.25,-5.04%,Oct,1996,October
Nov 1996,172.63,0.22%,Nov,1996,November
Dec 1996,174.5,1.08%,Dec,1996,December
Jan 1997,173.5,-0.57%,Jan,1997,January
Feb 1997,160.38,-7.56%,Feb,1997,February
Mar 1997,148.0,-7.72%,Mar,1997,March
Apr 1997,135.0,-8.78%,Apr,1997,April
May 1997,113.13,-16.20%,May,1997,May
Jun 1997,108.5,-4.09%,Jun,1997,June
Jul 1997,112.5,3.69%,Jul,1997,July
Aug 1997,102.5,-8.89%,Aug,1997,August
Sep 1997,88.3,-13.85%,Sep,1997,September
Oct 1997,87.5,-0.91%,Oct,1997,October
Nov 1997,90.63,3.58%,Nov,1997,November
Dec 1997,90.0,-0.70%,Dec,1997,December
Jan 1998,86.25,-4.17%,Jan,1998,January
Feb 1998,77.5,-10.14%,Feb,1998,February
Mar 1998,84.5,9.03%,Mar,1998,March
Apr 1998,100.0,18.34%,Apr,1998,April
May 1998,95.0,-5.00%,May,1998,May
Jun 1998,88.4,-6.95%,Jun,1998,June
Jul 1998,86.0,-2.71%,Jul,1998,July
Aug 1998,85.5,-0.58%,Aug,1998,August
Sep 1998,83.63,-2.19%,Sep,1998,September
Oct 1998,75.63,-9.57%,Oct,1998,October
Nov 1998,70.7,-6.52%,Nov,1998,November
Dec 1998,65.5,-7.36%,Dec,1998,December
Jan 1999,64.5,-1.53%,Jan,1999,January
Feb 1999,64.0,-0.78%,Feb,1999,February
Mar 1999,75.5,17.97%,Mar,1999,March
Apr 1999,64.5,-14.57%,Apr,1999,April
May 1999,64.9,0.62%,May,1999,May
Jun 1999,63.75,-1.77%,Jun,1999,June
Jul 1999,62.75,-1.57%,Jul,1999,July
Aug 1999,65.7,4.70%,Aug,1999,August
Sep 1999,67.5,2.74%,Sep,1999,September
Oct 1999,65.38,-3.14%,Oct,1999,October
Nov 1999,66.0,0.95%,Nov,1999,November
Dec 1999,66.83,1.26%,Dec,1999,December
Jan 2000,77.4,15.82%,Jan,2000,January
Feb 2000,90.13,16.45%,Feb,2000,February
Mar 2000,88.75,-1.53%,Mar,2000,March
Apr 2000,83.25,-6.20%,Apr,2000,April
May 2000,91.0,9.31%,May,2000,May
Jun 2000,105.13,15.53%,Jun,2000,June
Jul 2000,121.7,15.76%,Jul,2000,July
Aug 2000,133.38,9.60%,Aug,2000,August
Sep 2000,113.88,-14.62%,Sep,2000,September
Oct 2000,111.1,-2.44%,Oct,2000,October
Nov 2000,99.38,-10.55%,Nov,2000,November
Dec 2000,96.0,-3.40%,Dec,2000,December
Jan 2001,121.0,26.04%,Jan,2001,January
Feb 2001,105.25,-13.02%,Feb,2001,February
Mar 2001,98.88,-6.05%,Mar,2001,March
Apr 2001,95.3,-3.62%,Apr,2001,April
May 2001,85.0,-10.81%,May,2001,May
Jun 2001,87.5,2.94%,Jun,2001,June
Jul 2001,87.5,0.00%,Jul,2001,July
Aug 2001,88.75,1.43%,Aug,2001,August
Sep 2001,94.5,6.48%,Sep,2001,September
Oct 2001,96.1,1.69%,Oct,2001,October
Nov 2001,96.5,0.42%,Nov,2001,November
Dec 2001,101.17,4.84%,Dec,2001,December
Jan 2002,104.13,2.93%,Jan,2002,January
Feb 2002,99.63,-4.32%,Feb,2002,February
Mar 2002,90.25,-9.41%,Mar,2002,March
Apr 2002,84.7,-6.15%,Apr,2002,April
May 2002,85.5,0.94%,May,2002,May
Jun 2002,92.75,8.48%,Jun,2002,June
Jul 2002,94.2,1.56%,Jul,2002,July
Aug 2002,105.0,11.46%,Aug,2002,August
Sep 2002,93.0,-11.43%,Sep,2002,September
Oct 2002,92.25,-0.81%,Oct,2002,October
Nov 2002,92.25,0.00%,Nov,2002,November
Dec 2002,99.38,7.73%,Dec,2002,December
Jan 2003,112.0,12.70%,Jan,2003,January
Feb 2003,132.13,17.97%,Feb,2003,February
Mar 2003,138.9,5.12%,Mar,2003,March
Apr 2003,118.63,-14.59%,Apr,2003,April
May 2003,128.13,8.01%,May,2003,May
Jun 2003,133.9,4.50%,Jun,2003,June
Jul 2003,142.75,6.61%,Jul,2003,July
Aug 2003,141.5,-0.88%,Aug,2003,August
Sep 2003,146.8,3.75%,Sep,2003,September
Oct 2003,150.63,2.61%,Oct,2003,October
Nov 2003,153.5,1.91%,Nov,2003,November
Dec 2003,159.38,3.83%,Dec,2003,December
Jan 2004,160.25,0.55%,Jan,2004,January
Feb 2004,134.5,-16.07%,Feb,2004,February
Mar 2004,130.5,-2.97%,Mar,2004,March
Apr 2004,128.38,-1.62%,Apr,2004,April
May 2004,135.9,5.86%,May,2004,May
Jun 2004,158.25,16.45%,Jun,2004,June
Jul 2004,185.0,16.90%,Jul,2004,July
Aug 2004,196.2,6.05%,Aug,2004,August
Sep 2004,218.13,11.18%,Sep,2004,September
Oct 2004,242.13,11.00%,Oct,2004,October
Nov 2004,224.5,-7.28%,Nov,2004,November
Dec 2004,185.25,-17.48%,Dec,2004,December
Jan 2005,184.6,-0.35%,Jan,2005,January
Feb 2005,185.75,0.62%,Feb,2005,February
Mar 2005,217.13,16.89%,Mar,2005,March
Apr 2005,242.13,11.51%,Apr,2005,April
May 2005,256.0,5.73%,May,2005,May
Jun 2005,217.5,-15.04%,Jun,2005,June
Jul 2005,221.88,2.01%,Jul,2005,July
Aug 2005,208.5,-6.03%,Aug,2005,August
Sep 2005,210.38,0.90%,Sep,2005,September
Oct 2005,215.5,2.43%,Oct,2005,October
Nov 2005,235.0,9.05%,Nov,2005,November
Dec 2005,213.88,-8.99%,Dec,2005,December
Jan 2006,202.3,-5.41%,Jan,2006,January
Feb 2006,213.88,5.72%,Feb,2006,February
Mar 2006,243.13,13.68%,Mar,2006,March
Apr 2006,247.5,1.80%,Apr,2006,April
May 2006,229.5,-7.27%,May,2006,May
Jun 2006,210.0,-8.50%,Jun,2006,June
Jul 2006,205.5,-2.14%,Jul,2006,July
Aug 2006,210.5,2.43%,Aug,2006,August
Sep 2006,215.13,2.20%,Sep,2006,September
Oct 2006,209.2,-2.76%,Oct,2006,October
Nov 2006,227.38,8.69%,Nov,2006,November
Dec 2006,251.67,10.68%,Dec,2006,December
Jan 2007,265.0,5.30%,Jan,2007,January
Feb 2007,299.38,12.97%,Feb,2007,February
Mar 2007,318.13,6.26%,Mar,2007,March
Apr 2007,291.0,-8.53%,Apr,2007,April
May 2007,293.13,0.73%,May,2007,May
Jun 2007,291.88,-0.43%,Jun,2007,June
Jul 2007,269.5,-7.67%,Jul,2007,July
Aug 2007,260.63,-3.29%,Aug,2007,August
Sep 2007,305.0,17.02%,Sep,2007,September
Oct 2007,323.75,6.15%,Oct,2007,October
Nov 2007,366.25,13.13%,Nov,2007,November
Dec 2007,401.67,9.67%,Dec,2007,December
Jan 2008,376.63,-6.23%,Jan,2008,January
Feb 2008,328.13,-12.88%,Feb,2008,February
Mar 2008,371.0,13.06%,Mar,2008,March
Apr 2008,462.5,24.66%,Apr,2008,April
May 2008,633.75,37.03%,May,2008,May
Jun 2008,642.0,1.30%,Jun,2008,June
Jul 2008,733.75,14.29%,Jul,2008,July
Aug 2008,785.0,6.98%,Aug,2008,August
Sep 2008,744.5,-5.16%,Sep,2008,September
Oct 2008,575.0,-22.77%,Oct,2008,October
Nov 2008,287.5,-50.00%,Nov,2008,November
Dec 2008,240.0,-16.52%,Dec,2008,December
Jan 2009,273.75,14.06%,Jan,2009,January
Feb 2009,281.25,2.74%,Feb,2009,February
Mar 2009,268.5,-4.53%,Mar,2009,March
Apr 2009,245.63,-8.52%,Apr,2009,April
May 2009,236.25,-3.82%,May,2009,May
Jun 2009,239.7,1.46%,Jun,2009,June
Jul 2009,243.75,1.69%,Jul,2009,July
Aug 2009,251.5,3.18%,Aug,2009,August
Sep 2009,232.25,-7.65%,Sep,2009,September
Oct 2009,234.88,1.13%,Oct,2009,October
Nov 2009,243.5,3.67%,Nov,2009,November
Dec 2009,262.0,7.60%,Dec,2009,December
Jan 2010,266.5,1.72%,Jan,2010,January
Feb 2010,297.5,11.63%,Feb,2010,February
Mar 2010,278.7,-6.32%,Mar,2010,March
Apr 2010,253.75,-8.95%,Apr,2010,April
May 2010,234.0,-7.78%,May,2010,May
Jun 2010,226.25,-3.31%,Jun,2010,June
Jul 2010,259.38,14.64%,Jul,2010,July
Aug 2010,263.5,1.59%,Aug,2010,August
Sep 2010,308.75,17.17%,Sep,2010,September
Oct 2010,332.5,7.69%,Oct,2010,October
Nov 2010,365.4,9.89%,Nov,2010,November
Dec 2010,380.63,4.17%,Dec,2010,December
Jan 2011,378.5,-0.56%,Jan,2011,January
Feb 2011,297.5,-21.40%,Feb,2011,February
Mar 2011,278.7,-6.32%,Mar,2011,March
Apr 2011,253.75,-8.95%,Apr,2011,April
May 2011,234.0,-7.78%,May,2011,May
Jun 2011,478.75,104.59%,Jun,2011,June
Jul 2011,483.75,1.04%,Jul,2011,July
Aug 2011,475.5,-1.71%,Aug,2011,August
Sep 2011,508.75,6.99%,Sep,2011,September
Oct 2011,493.5,-3.00%,Oct,2011,October
Nov 2011,481.25,-2.48%,Nov,2011,November
Dec 2011,423.13,-12.08%,Dec,2011,December
Jan 2012,368.0,-13.03%,Jan,2012,January
Feb 2012,375.0,1.90%,Feb,2012,February
Mar 2012,393.13,4.83%,Mar,2012,March
Apr 2012,494.38,25.75%,Apr,2012,April
May 2012,513.13,3.79%,May,2012,May
Jun 2012,456.88,-10.96%,Jun,2012,June
Jul 2012,307.5,-32.70%,Jul,2012,July
Aug 2012,382.5,24.39%,Aug,2012,August
Sep 2012,384.38,0.49%,Sep,2012,September
Oct 2012,349.0,-9.20%,Oct,2012,October
Nov 2012,383.5,9.89%,Nov,2012,November
Dec 2012,375.83,-2.00%,Dec,2012,December
Jan 2013,380.0,1.11%,Jan,2013,January
Feb 2013,415.63,9.38%,Feb,2013,February
Mar 2013,395.63,-4.81%,Mar,2013,March
Apr 2013,365.63,-7.58%,Apr,2013,April
May 2013,358.13,-2.05%,May,2013,May
Jun 2013,329.38,-8.03%,Jun,2013,June
Jul 2013,312.5,-5.12%,Jul,2013,July
Aug 2013,310.63,-0.60%,Aug,2013,August
Sep 2013,301.0,-3.10%,Sep,2013,September
Oct 2013,296.88,-1.37%,Oct,2013,October
Nov 2013,305.0,2.74%,Nov,2013,November
Dec 2013,305.0,0.00%,Dec,2013,December
Jan 2014,330.0,8.20%,Jan,2014,January
Feb 2014,353.13,7.01%,Feb,2014,February
Mar 2014,327.5,-7.26%,Mar,2014,March
Apr 2014,260.0,-20.61%,Apr,2014,April
May 2014,265.0,1.92%,May,2014,May
Jun 2014,288.75,8.96%,Jun,2014,June
Jul 2014,305.0,5.63%,Jul,2014,July
Aug 2014,311.25,2.05%,Aug,2014,August
Sep 2014,317.5,2.01%,Sep,2014,September
Oct 2014,317.5,0.00%,Oct,2014,October
Nov 2014,317.5,0.00%,Nov,2014,November
Dec 2014,308.13,-2.95%,Dec,2014,December
Jan 2015,305.0,-1.02%,Jan,2015,January
Feb 2015,305.0,0.00%,Feb,2015,February
Mar 2015,295.5,-3.11%,Mar,2015,March
Apr 2015,260.0,-12.01%,Apr,2015,April
May 2015,265.0,1.92%,May,2015,May
Jun 2015,288.75,8.96%,Jun,2015,June
Jul 2015,283.75,-1.73%,Jul,2015,July
Aug 2015,274.63,-3.21%,Aug,2015,August
Sep 2015,279.38,1.73%,Sep,2015,September
Oct 2015,250.63,-10.29%,Oct,2015,October
Nov 2015,263.63,5.19%,Nov,2015,November
Dec 2015,264.0,0.14%,Dec,2015,December
Jan 2016,233.88,-11.41%,Jan,2016,January
Feb 2016,191.88,-17.96%,Feb,2016,February
Mar 2016,201.75,5.14%,Mar,2016,March
Apr 2016,196.25,-2.73%,Apr,2016,April
May 2016,198.38,1.09%,May,2016,May
Jun 2016,142.63,-28.10%,Jun,2016,June
Jul 2016,181.0,26.90%,Jul,2016,July
Aug 2016,186.25,2.90%,Aug,2016,August
Sep 2016,187.3,0.56%,Sep,2016,September
Oct 2016,187.5,0.11%,Oct,2016,October
Nov 2016,205.0,9.33%,Nov,2016,November
Dec 2016,217.75,6.22%,Dec,2016,December
Jan 2017,233.75,7.35%,Jan,2017,January
Feb 2017,191.88,-17.91%,Feb,2017,February
Mar 2017,223.5,16.48%,Mar,2017,March
Apr 2017,207.88,-6.99%,Apr,2017,April
May 2017,178.75,-14.01%,May,2017,May
Jun 2017,191.0,6.85%,Jun,2017,June
Jul 2017,181.0,-5.24%,Jul,2017,July
Aug 2017,192.63,6.43%,Aug,2017,August
Sep 2017,219.0,13.69%,Sep,2017,September
Oct 2017,252.5,15.30%,Oct,2017,October
Nov 2017,280.0,10.89%,Nov,2017,November
Dec 2017,214.63,-23.35%,Dec,2017,December
Jan 2018,219.63,2.33%,Jan,2018,January
Feb 2018,232.5,5.86%,Feb,2018,February
Mar 2018,232.5,0.00%,Mar,2018,March
Apr 2018,230.63,-0.80%,Apr,2018,April
May 2018,221.88,-3.79%,May,2018,May
Jun 2018,224.0,0.96%,Jun,2018,June
Jul 2018,252.5,12.72%,Jul,2018,July
Aug 2018,260.0,2.97%,Aug,2018,August
Sep 2018,267.5,2.88%,Sep,2018,September
Oct 2018,270.0,0.93%,Oct,2018,October
Nov 2018,305.6,13.19%,Nov,2018,November
Dec 2018,276.67,-9.47%,Dec,2018,December
Jan 2019,260.0,-6.03%,Jan,2019,January
Feb 2019,250.63,-3.60%,Feb,2019,February
Mar 2019,247.5,-1.25%,Mar,2019,March
Apr 2019,247.5,0.00%,Apr,2019,April
May 2019,247.5,0.00%,May,2019,May
Jun 2019,247.5,0.00%,Jun,2019,June
Jul 2019,263.5,6.46%,Jul,2019,July
Aug 2019,262.5,-0.38%,Aug,2019,August
Sep 2019,237.75,-9.43%,Sep,2019,September
Oct 2019,237.0,-0.32%,Oct,2019,October
Nov 2019,224.5,-5.27%,Nov,2019,November
Dec 2019,217.5,-3.12%,Dec,2019,December
Jan 2020,215.4,-0.97%,Jan,2020,January
Feb 2020,214.38,-0.47%,Feb,2020,February
Mar 2020,231.13,7.81%,Mar,2020,March
Apr 2020,235.0,1.67%,Apr,2020,April
May 2020,201.9,-14.09%,May,2020,May
Jun 2020,202.0,0.05%,Jun,2020,June
Jul 2020,214.4,6.14%,Jul,2020,July
