Date,Open,High,Low,Close
2012-01-02,653.13,653.13,653.13,653.13
2012-01-03,665.88,670.5,654.0,658.38
2012-01-04,656.38,661.13,645.63,650.13
2012-01-05,649.13,650.13,627.13,627.38
2012-01-06,629.38,636.88,624.63,624.63
2012-01-09,625.75,644.88,625.25,642.38
2012-01-10,640.63,644.63,634.38,639.63
2012-01-11,639.13,643.25,632.5,643.25
2012-01-12,641.38,648.63,592.0,605.88
2012-01-13,603.88,609.88,599.13,601.63
2012-01-17,603.38,611.75,601.63,604.88
2012-01-18,605.75,606.25,590.13,592.13
2012-01-19,592.38,606.38,591.88,606.13
2012-01-20,605.13,611.75,597.13,610.63
2012-01-23,613.63,620.5,613.63,619.63
2012-01-24,619.88,637.88,614.13,633.63
2012-01-25,632.88,648.75,629.63,641.63
2012-01-26,640.88,658.0,639.88,653.13
2012-01-27,652.75,656.38,645.38,647.25
2012-01-30,646.63,653.88,635.38,643.88
2012-01-31,645.25,667.38,644.88,666.63
2012-02-01,666.75,683.25,666.63,674.63
2012-02-02,674.5,674.5,657.38,661.63
2012-02-03,663.38,670.75,653.88,660.38
2012-02-06,660.25,668.88,656.75,668.63
2012-02-07,669.13,671.88,655.38,661.13
2012-02-08,662.13,669.63,653.13,661.13
2012-02-09,660.88,664.75,641.88,645.38
2012-02-10,645.13,645.63,628.63,629.88
2012-02-13,635.13,642.13,631.38,641.88
2012-02-14,640.75,642.88,632.63,634.25
2012-02-15,635.13,640.13,624.38,626.13
2012-02-16,627.75,632.38,621.13,627.13
2012-02-17,626.63,646.63,626.0,644.13
2012-02-21,648.13,648.13,623.88,633.63
2012-02-22,632.75,645.75,628.63,644.88
2012-02-23,644.13,645.63,635.38,640.88
2012-02-24,641.88,643.38,632.63,642.25
2012-02-27,643.13,653.75,633.38,653.75
2012-02-28,651.75,668.88,649.63,667.38
2012-02-29,666.25,674.38,660.38,667.88
2012-03-01,666.63,672.63,658.88,663.0
2012-03-02,663.38,675.38,657.75,672.25
2012-03-05,673.5,677.5,667.88,670.88
2012-03-06,671.38,671.5,655.38,657.13
2012-03-07,658.63,658.63,636.38,638.63
2012-03-08,640.75,647.5,633.63,634.63
2012-03-09,635.38,649.88,634.38,640.88
2012-03-11,643.13,643.13,638.25,639.25
2012-03-12,639.13,653.13,638.75,651.13
2012-03-13,651.38,657.38,645.25,649.5
2012-03-14,649.75,650.88,640.88,646.25
2012-03-15,646.13,665.38,643.38,663.63
2012-03-16,663.5,672.63,660.25,672.13
2012-03-18,670.88,675.13,670.13,674.5
2012-03-19,674.38,674.88,651.63,652.25
2012-03-20,652.13,652.38,640.13,642.75
2012-03-21,642.88,647.25,635.63,640.75
2012-03-22,640.63,650.38,631.38,648.75
2012-03-23,648.88,654.88,646.38,654.63
