,Date,Open,High,Low,Close,Volume,Currency,month,year,month_name
0,2012-01-02,653.13,653.13,653.13,653.13,0,USD,1,2012,January
1,2012-01-03,665.88,670.5,654.0,658.38,0,USD,1,2012,January
2,2012-01-04,656.38,661.13,645.63,650.13,0,USD,1,2012,January
3,2012-01-05,649.13,650.13,627.13,627.38,0,USD,1,2012,January
4,2012-01-06,629.38,636.88,624.63,624.63,0,USD,1,2012,January
5,2012-01-09,625.75,644.88,625.25,642.38,0,USD,1,2012,January
6,2012-01-10,640.63,644.63,634.38,639.63,0,USD,1,2012,January
7,2012-01-11,639.13,643.25,632.5,643.25,0,USD,1,2012,January
8,2012-01-12,641.38,648.63,592.0,605.88,0,USD,1,2012,January
9,2012-01-13,603.88,609.88,599.13,601.63,0,USD,1,2012,January
10,2012-01-17,603.38,611.75,601.63,604.88,0,USD,1,2012,January
11,2012-01-18,605.75,606.25,590.13,592.13,0,USD,1,2012,January
12,2012-01-19,592.38,606.38,591.88,606.13,0,USD,1,2012,January
13,2012-01-20,605.13,611.75,597.13,610.63,0,USD,1,2012,January
14,2012-01-23,613.63,620.5,613.63,619.63,0,USD,1,2012,January
15,2012-01-24,619.88,637.88,614.13,633.63,0,USD,1,2012,January
16,2012-01-25,632.88,648.75,629.63,641.63,0,USD,1,2012,January
17,2012-01-26,640.88,658.0,639.88,653.13,0,USD,1,2012,January
18,2012-01-27,652.75,656.38,645.38,647.25,0,USD,1,2012,January
19,2012-01-30,646.63,653.88,635.38,643.88,0,USD,1,2012,January
20,2012-01-31,645.25,667.38,644.88,666.63,0,USD,1,2012,January
21,2012-02-01,666.75,683.25,666.63,674.63,0,USD,2,2012,February
22,2012-02-02,674.5,674.5,657.38,661.63,0,USD,2,2012,February
23,2012-02-03,663.38,670.75,653.88,660.38,0,USD,2,2012,February
24,2012-02-06,660.25,668.88,656.75,668.63,0,USD,2,2012,February
25,2012-02-07,669.13,671.88,655.38,661.13,0,USD,2,2012,February
26,2012-02-08,662.13,669.63,653.13,661.13,0,USD,2,2012,February
27,2012-02-09,660.88,664.75,641.88,645.38,0,USD,2,2012,February
28,2012-02-10,645.13,645.63,628.63,629.88,0,USD,2,2012,February
29,2012-02-13,635.13,642.13,631.38,641.88,0,USD,2,2012,February
30,2012-02-14,640.75,642.88,632.63,634.25,0,USD,2,2012,February
31,2012-02-15,635.13,640.13,624.38,626.13,0,USD,2,2012,February
32,2012-02-16,627.75,632.38,621.13,627.13,0,USD,2,2012,February
33,2012-02-17,626.63,646.63,626.0,644.13,0,USD,2,2012,February
34,2012-02-21,648.13,648.13,623.88,633.63,0,USD,2,2012,February
35,2012-02-22,632.75,645.75,628.63,644.88,0,USD,2,2012,February
36,2012-02-23,644.13,645.63,635.38,640.88,0,USD,2,2012,February
37,2012-02-24,641.88,643.38,632.63,642.25,0,USD,2,2012,February
38,2012-02-27,643.13,653.75,633.38,653.75,0,USD,2,2012,February
