Date,Drought,Urea,KHC
2012-02-01,0.52,375.0,38.47
2012-03-01,-0.84,393.13,38.01
2012-05-01,-2.21,513.13,39.76
2012-06-01,-3.42,456.88,37.57
2012-08-01,-5.41,382.5,39.39
2012-10-01,-5.38,349.0,44.1
2012-11-01,-5.66,383.5,45.13
2013-02-01,-4.73,415.63,46.6
2013-03-01,-4.86,395.63,48.57
2013-04-01,0.18,365.63,51.89
2013-05-01,0.51,358.13,51.07
2013-07-01,0.14,312.5,54.98
2013-08-01,0.14,310.63,57.14
2013-10-01,1.14,296.88,52.96
2013-11-01,0.92,305.0,54.63
2014-04-01,-1.02,260.0,56.11
2014-05-01,-1.42,265.0,56.69
2014-07-01,0.75,305.0,60.33
2014-08-01,1.4,311.25,54.72
2014-10-01,-0.28,317.5,55.83
2014-12-01,0.2,308.13,59.92
2015-04-01,-0.74,260.0,90.7
2015-05-01,2.94,265.0,84.67
2015-06-01,3.02,288.75,84.27
2015-07-01,3.95,283.75,88.3
2015-09-01,2.95,279.38,70.12
2015-10-01,3.21,250.63,70.83
2015-12-01,4.65,264.0,74.47
2016-02-01,3.76,191.88,77.01
2016-03-01,3.07,201.75,77.66
2016-04-01,4.2,196.25,79.08
2016-06-01,3.38,142.63,83.95
2016-07-01,3.59,181.0,88.24
2016-08-01,3.99,186.25,85.97
2016-09-01,4.0,187.3,89.48
2016-11-01,-0.8,205.0,88.37
2016-12-01,-0.67,217.75,80.49
2017-02-01,-0.27,191.88,88.41
2017-03-01,-0.63,223.5,91.43
2017-05-01,-0.14,178.75,89.47
2017-06-01,-0.85,191.0,92.73
2017-08-01,0.85,192.63,86.67
2017-09-01,0.97,219.0,80.85
2017-11-01,-0.74,280.0,77.7
2017-12-01,-0.99,214.63,81.21
2018-02-01,-1.04,232.5,78.57
2018-03-01,-1.32,232.5,66.89
2018-05-01,-2.08,221.88,55.7
2018-06-01,-2.24,224.0,57.65
2018-08-01,-2.09,260.0,59.28
2018-10-01,2.1,270.0,55.54
2018-11-01,2.03,305.6,56.2
2019-02-01,3.2,250.63,47.76
2019-03-01,3.78,247.5,32.4
2019-04-01,3.79,247.5,32.5
2019-05-01,5.94,247.5,32.99
2019-07-01,6.17,263.5,30.46
2019-08-01,6.9,262.5,32.53
2019-10-01,6.86,237.0,27.34
2019-11-01,6.55,224.5,32.61
2020-04-01,-0.2,235.0,23.68
2020-05-01,-0.14,201.9,29.38
2020-06-01,-0.55,202.0,30.43
2020-07-01,0.6,214.4,31.67
2020-09-01,-0.82,250.5,34.14
2020-10-01,-0.73,245.0,30.37
2020-12-01,-1.47,245.0,33.14
2021-02-01,-1.74,335.0,33.25
2021-03-01,-1.76,352.88,37.09
2021-04-01,-1.92,328.1,40.03
2021-06-01,-2.01,393.25,43.85
2021-07-01,-2.33,441.5,40.49
2021-09-01,-3.06,418.75,36.1
2021-10-01,-2.37,695.0,36.68
2021-11-01,-3.0,900.5,36.73
2021-12-01,-3.28,890.0,32.88
