"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 02, 2022","81.98","80.33","82.19","79.87","11.33K","1.67%"
"Aug 01, 2022","80.63","78.10","80.83","78.10","10.51K","2.49%"
"Jul 29, 2022","78.67","78.96","79.50","77.57","11.48K","-0.04%"
"Jul 28, 2022","78.70","76.07","80.10","76.07","14.23K","3.19%"
"Jul 27, 2022","76.27","76.61","77.79","75.80","13.54K","-0.64%"
"Jul 26, 2022","76.76","76.51","77.50","75.85","16.04K","0.55%"
"Jul 25, 2022","76.34","76.09","78.42","75.50","17.54K","0.25%"
"Jul 22, 2022","76.15","77.90","79.80","76.00","18.43K","-2.50%"
"Jul 21, 2022","78.10","79.19","79.79","77.65","22.48K","-1.15%"
"Jul 20, 2022","79.01","83.60","83.64","78.70","27.69K","-5.16%"
"Jul 19, 2022","83.31","84.69","84.82","82.81","16.72K","-1.41%"
"Jul 18, 2022","84.50","85.00","85.41","83.76","10.36K","-0.60%"
"Jul 15, 2022","85.01","83.53","85.74","83.51","11.61K","1.59%"
"Jul 14, 2022","83.68","84.10","84.79","83.26","9.82K","0.05%"
"Jul 13, 2022","83.64","86.04","86.57","83.56","13.57K","-2.76%"
"Jul 12, 2022","86.01","84.60","86.05","83.38","12.01K","1.97%"
"Jul 11, 2022","84.35","82.75","84.61","82.70","9.94K","2.01%"
"Jul 08, 2022","82.69","84.80","85.00","82.60","10.67K","-2.03%"
"Jul 07, 2022","84.40","83.17","85.46","82.76","13.10K","0.90%"
"Jul 06, 2022","83.65","83.19","84.63","82.70","11.71K","1.09%"
"Jul 05, 2022","82.75","84.99","84.99","82.53","10.91K","-2.22%"
"Jul 04, 2022","84.63","86.67","87.17","83.74","11.28K","-1.80%"
"Jul 01, 2022","86.18","89.29","90.35","85.02","16.78K","-3.72%"
"Jun 30, 2022","89.51","88.10","90.33","87.32","13.55K","0.97%"
"Jun 29, 2022","88.65","87.42","90.06","87.11","15.87K","0.67%"
"Jun 28, 2022","88.06","84.51","88.06","83.80","13.65K","4.20%"
"Jun 27, 2022","84.51","83.50","85.70","83.01","12.37K","0.84%"
"Jun 24, 2022","83.81","84.28","84.46","83.01","11.80K","-0.45%"
"Jun 23, 2022","84.19","81.55","84.25","81.55","13.87K","2.68%"
"Jun 22, 2022","81.99","84.60","84.80","81.27","18.45K","-3.10%"
"Jun 21, 2022","84.61","84.33","85.41","83.54","11.28K","0.71%"
"Jun 20, 2022","84.01","83.50","85.30","82.97","11.40K","2.30%"
"Jun 17, 2022","82.12","83.00","84.15","81.83","11.96K","-1.06%"
"Jun 16, 2022","83.00","86.01","86.76","82.15","14.81K","-3.88%"
"Jun 15, 2022","86.35","83.26","86.94","83.16","16.55K","2.76%"
"Jun 14, 2022","84.03","81.79","84.50","81.25","13.94K","2.66%"
"Jun 13, 2022","81.85","82.03","82.24","79.81","12.84K","-1.15%"
"Jun 10, 2022","82.80","81.09","82.80","80.18","12.57K","2.11%"
"Jun 09, 2022","81.09","80.30","82.18","79.41","15.42K","1.06%"
"Jun 08, 2022","80.24","80.72","81.98","79.10","20.30K","-0.82%"
"Jun 07, 2022","80.90","82.07","82.79","80.65","11.97K","-1.47%"
"Jun 06, 2022","82.11","87.21","87.21","81.24","14.18K","-5.72%"
"Jun 03, 2022","87.09","86.34","87.33","85.99","4.57K","1.02%"
"Jun 02, 2022","86.21","86.15","88.64","85.62","8.33K","-0.24%"
"Jun 01, 2022","86.42","84.22","87.58","83.81","13.23K","2.87%"
"May 31, 2022","84.01","84.00","84.96","83.50","9.98K","0.97%"
"May 30, 2022","83.20","84.36","85.05","83.09","8.65K","-0.93%"
"May 27, 2022","83.98","84.90","85.33","83.45","7.78K","-1.34%"
"May 26, 2022","85.12","81.11","85.18","81.11","7.76K","4.44%"
"May 25, 2022","81.50","80.93","82.63","80.29","10.40K","0.82%"
"May 24, 2022","80.84","77.90","82.66","77.40","17.02K","3.88%"
"May 23, 2022","77.82","80.16","82.67","77.80","17.17K","-3.17%"
"May 20, 2022","80.37","83.50","84.20","80.16","15.78K","-3.13%"
"May 19, 2022","82.97","84.38","85.55","80.16","20.65K","-1.98%"
"May 18, 2022","84.65","88.75","90.00","82.78","29.69K","-8.23%"
"May 17, 2022","92.24","90.37","92.75","89.62","15.30K","2.22%"
"May 16, 2022","90.24","87.63","90.35","87.63","12.02K","1.99%"
"May 13, 2022","88.48","88.07","90.50","87.60","11.94K","0.36%"
"May 12, 2022","88.16","88.83","89.05","86.75","15.03K","-1.17%"
"May 11, 2022","89.20","87.52","90.00","82.10","25.57K","1.92%"
"May 10, 2022","87.52","86.72","88.69","85.75","14.95K","0.74%"
"May 09, 2022","86.88","92.00","92.22","86.52","22.32K","-5.34%"
"May 06, 2022","91.78","89.63","92.36","88.40","16.29K","3.14%"
"May 05, 2022","88.99","88.70","91.99","86.82","22.11K","1.19%"
"May 04, 2022","87.94","88.21","89.32","85.98","16.57K","-0.58%"
"May 03, 2022","88.45","83.30","89.06","82.72","17.67K","6.46%"
"May 02, 2022","83.08","83.59","84.89","82.44","9.74K","-1.62%"
"Apr 29, 2022","84.45","82.97","85.84","82.29","16.07K","2.14%"
"Apr 28, 2022","82.68","81.48","83.67","79.90","20.23K","2.06%"
"Apr 27, 2022","81.01","81.25","81.94","78.80","22.30K","-2.06%"
"Apr 26, 2022","82.71","84.58","85.25","81.95","22.85K","-0.90%"
"Apr 25, 2022","83.46","88.09","88.32","82.30","24.04K","-6.21%"
"Apr 22, 2022","88.99","85.99","89.89","85.75","22.33K","2.95%"
"Apr 21, 2022","86.44","86.50","87.69","85.58","14.75K","-1.57%"
"Apr 20, 2022","87.82","80.44","88.50","79.79","30.56K","9.50%"
"Apr 19, 2022","80.20","80.14","80.95","79.52","18.38K","0.29%"
"Apr 14, 2022","79.97","77.38","80.25","77.38","15.28K","3.27%"
"Apr 13, 2022","77.44","79.17","79.17","77.23","15.19K","-1.99%"
"Apr 12, 2022","79.01","77.65","79.29","76.85","16.03K","1.36%"
"Apr 11, 2022","77.95","79.75","80.16","77.55","16.22K","-2.67%"
"Apr 08, 2022","80.09","79.63","80.98","79.51","13.93K","0.19%"
"Apr 07, 2022","79.94","77.17","80.40","76.34","19.50K","3.58%"
"Apr 06, 2022","77.18","78.01","79.56","76.71","19.74K","-1.11%"
"Apr 05, 2022","78.05","78.76","78.94","77.44","17.90K","-0.57%"
"Apr 04, 2022","78.50","78.22","79.40","77.14","15.61K","0.01%"
"Apr 01, 2022","78.49","77.00","79.88","76.34","16.91K","2.63%"
"Mar 31, 2022","76.48","78.51","80.50","75.35","35.66K","-2.34%"
"Mar 30, 2022","78.31","81.05","81.62","76.80","37.77K","-4.15%"
"Mar 29, 2022","81.70","80.90","81.99","80.17","25.58K","1.10%"
"Mar 28, 2022","80.81","78.70","81.99","77.87","22.02K","2.81%"
"Mar 25, 2022","78.60","78.26","79.06","77.23","18.50K","0.46%"
"Mar 24, 2022","78.24","76.62","79.24","75.90","16.43K","2.14%"
"Mar 23, 2022","76.60","80.90","81.30","75.85","30.57K","-5.05%"
"Mar 22, 2022","80.67","79.05","81.40","78.61","18.47K","2.91%"
"Mar 21, 2022","78.39","78.72","79.74","77.52","13.94K","-0.63%"
"Mar 18, 2022","78.89","80.00","80.00","78.32","19.04K","-1.25%"
"Mar 17, 2022","79.89","79.18","80.19","76.32","23.82K","2.21%"
"Mar 16, 2022","78.16","77.51","79.11","75.25","22.57K","0.94%"
"Mar 15, 2022","77.43","77.00","79.15","75.01","24.73K","-1.09%"
"Mar 14, 2022","78.28","76.00","81.50","75.81","19.37K","1.98%"
"Mar 11, 2022","76.76","75.93","78.00","73.71","22.27K","0.46%"
"Mar 10, 2022","76.41","72.53","76.68","69.52","32.70K","4.41%"
"Mar 09, 2022","73.18","68.02","74.67","67.22","36.12K","6.82%"
"Mar 08, 2022","68.51","57.40","69.29","56.50","38.50K","17.51%"
"Mar 07, 2022","58.30","64.29","64.29","56.82","47.75K","-10.45%"
"Mar 04, 2022","65.10","66.00","68.74","64.30","35.93K","-3.34%"
"Mar 03, 2022","67.35","68.70","69.49","63.49","40.64K","-1.66%"
"Mar 02, 2022","68.49","70.55","70.96","55.00","78.46K","-0.52%"
"Mar 01, 2022","68.85","82.60","84.43","66.00","78.66K","-16.25%"
"Feb 28, 2022","82.21","85.94","86.00","80.12","36.02K","-6.73%"
"Feb 25, 2022","88.14","88.24","89.70","87.06","20.87K","1.28%"
"Feb 24, 2022","87.03","95.00","95.00","86.15","49.74K","-8.46%"
"Feb 23, 2022","95.07","89.79","95.56","89.54","30.15K","5.90%"
"Feb 22, 2022","89.77","89.90","90.28","88.10","22.31K","0.10%"
"Feb 21, 2022","89.68","89.07","90.95","88.02","19.95K","0.23%"
"Feb 18, 2022","89.47","86.16","89.66","86.16","21.37K","3.51%"
"Feb 17, 2022","86.44","89.84","90.45","85.80","31.59K","-3.81%"
"Feb 16, 2022","89.86","90.29","91.21","87.77","31.05K","-1.40%"
"Feb 15, 2022","91.14","91.48","92.75","90.31","26.15K","-0.68%"
"Feb 14, 2022","91.76","93.70","94.00","89.90","23.37K","-1.20%"
"Feb 11, 2022","92.87","90.50","93.38","88.50","24.98K","2.30%"
"Feb 10, 2022","90.78","91.45","93.42","89.25","28.87K","-0.01%"
"Feb 09, 2022","90.79","96.29","97.60","90.26","35.63K","-6.33%"
"Feb 08, 2022","96.93","97.00","98.49","95.25","30.32K","0.24%"
