Date,Open,High,Low,Close
2012-01-03,37.99,37.99,37.21,37.27
2012-01-04,37.32,37.5,37.17,37.39
2012-01-05,37.43,37.88,37.39,37.74
2012-01-06,37.9,37.92,37.5,37.55
2012-01-09,37.63,37.77,37.45,37.72
2012-01-10,38.04,38.04,37.91,38.02
2012-01-11,38.0,38.02,37.74,37.93
2012-01-12,38.1,38.27,37.97,38.22
2012-01-13,38.18,38.2,37.72,37.77
2012-01-17,38.1,38.53,38.03,38.13
2012-01-18,38.19,38.81,38.17,38.72
2012-01-19,38.78,38.84,38.46,38.7
2012-01-20,38.72,38.77,38.36,38.67
2012-01-23,38.57,38.64,38.22,38.47
2012-01-24,38.42,38.59,38.2,38.3
2012-01-25,38.15,38.45,38.13,38.37
2012-01-26,38.55,38.9,38.39,38.6
2012-01-27,38.63,38.63,38.28,38.47
2012-01-30,38.28,38.32,38.03,38.18
2012-01-31,38.23,38.34,38.03,38.3
2012-02-01,38.57,38.78,38.45,38.47
2012-02-02,38.66,38.7,38.5,38.58
2012-02-03,38.9,39.06,38.78,38.88
2012-02-06,38.9,38.93,38.62,38.7
2012-02-07,38.58,38.61,38.36,38.51
2012-02-08,38.49,38.65,38.4,38.54
2012-02-09,38.58,38.77,38.57,38.64
2012-02-10,38.44,38.63,38.36,38.58
2012-02-13,38.73,38.75,38.36,38.4
2012-02-14,38.38,38.61,38.34,38.5
2012-02-15,38.53,38.72,38.22,38.29
2012-02-16,38.48,38.56,38.19,38.24
2012-02-17,38.21,38.22,37.8,38.01
2012-02-21,38.65,38.81,38.32,38.57
2012-02-22,38.48,38.6,37.88,37.99
2012-02-23,37.95,38.13,37.87,37.98
2012-02-24,38.05,38.05,37.78,37.88
2012-02-27,37.58,38.2,37.58,37.91
2012-02-28,37.96,38.2,37.83,38.0
2012-02-29,38.03,38.17,37.84,38.07
2012-03-01,38.03,38.17,37.92,38.01
2012-03-02,37.97,38.33,37.97,38.25
2012-03-05,38.23,38.49,38.21,38.35
2012-03-06,38.32,38.52,38.16,38.27
2012-03-07,37.92,37.97,37.59,37.83
2012-03-08,38.08,38.09,37.86,37.91
2012-03-09,37.95,37.97,37.81,37.95
2012-03-12,37.86,38.22,37.84,38.12
2012-03-13,38.3,38.55,38.27,38.52
2012-03-14,38.61,38.61,38.1,38.17
2012-03-15,38.17,38.3,38.0,38.3
2012-03-16,38.45,38.5,38.14,38.38
2012-03-19,38.35,38.5,38.27,38.35
2012-03-20,38.24,38.5,38.2,38.35
2012-03-21,38.33,38.47,38.17,38.31
2012-03-22,38.3,38.35,38.06,38.21
2012-03-23,38.24,38.34,38.13,38.25
2012-03-26,38.37,38.63,38.37,38.63
2012-03-27,38.64,38.65,38.32,38.36
2012-03-28,38.13,38.23,37.9,37.97
2012-03-29,37.96,37.99,37.69,37.81
2012-03-30,37.86,38.26,37.84,38.01
2012-04-02,38.03,38.49,38.03,38.38
2012-04-03,38.44,38.47,38.23,38.29
2012-04-04,38.18,38.36,38.13,38.22
2012-04-05,38.1,38.16,37.82,38.04
2012-04-09,37.78,37.86,37.56,37.59
2012-04-10,37.55,37.56,37.0,37.02
2012-04-11,37.23,37.31,36.76,36.87
2012-04-12,36.88,37.15,36.85,37.14
2012-04-13,37.1,37.51,37.1,37.35
2012-04-16,37.36,37.72,37.3,37.58
2012-04-17,37.81,38.53,37.74,38.48
2012-04-18,38.32,38.42,38.17,38.24
2012-04-19,38.36,38.37,38.06,38.2
2012-04-20,38.26,38.75,38.25,38.54
2012-04-23,38.26,38.28,37.88,37.99
2012-04-24,38.1,38.52,38.1,38.36
2012-04-25,38.54,38.87,38.52,38.74
2012-04-26,38.7,39.09,38.68,39.0
2012-04-27,39.17,39.54,39.15,39.4
2012-04-30,39.77,39.92,39.57,39.87
2012-05-01,39.77,39.98,39.67,39.76
2012-05-02,39.73,39.92,39.62,39.7
2012-05-03,39.55,39.71,39.35,39.59
2012-05-04,39.53,39.78,39.24,39.25
2012-05-07,39.25,39.48,39.16,39.26
2012-05-08,39.15,39.37,39.07,39.17
2012-05-09,38.86,39.14,38.84,38.87
2012-05-10,39.09,39.2,38.87,39.06
2012-05-11,38.98,39.26,38.93,39.04
2012-05-14,38.9,39.25,38.8,39.04
2012-05-15,39.11,39.2,38.76,38.82
2012-05-16,38.87,38.92,38.61,38.61
2012-05-17,38.55,38.72,38.33,38.35
2012-05-18,38.42,38.79,38.35,38.49
2012-05-21,38.63,38.75,38.37,38.59
2012-05-22,38.59,38.89,38.52,38.81
2012-05-23,38.67,38.9,38.29,38.4
2012-05-24,38.37,38.73,38.36,38.69
2012-05-25,38.65,38.71,38.44,38.57
2012-05-29,38.73,38.83,38.47,38.65
2012-05-30,38.31,38.48,38.23,38.41
2012-05-31,38.37,38.49,38.21,38.27
2012-06-01,37.99,38.09,37.56,37.57
2012-06-04,37.47,37.72,37.4,37.65
2012-06-05,37.53,37.69,37.28,37.6
2012-06-06,37.69,37.98,37.67,37.98
2012-06-07,38.3,38.44,38.0,38.15
2012-06-08,38.23,38.33,38.17,38.24
2012-06-11,38.42,38.57,38.12,38.14
2012-06-12,38.29,38.5,38.2,38.39
2012-06-13,38.35,38.57,38.18,38.44
2012-06-14,38.57,38.88,38.49,38.72
2012-06-15,38.95,39.14,38.64,38.64
2012-06-18,38.71,39.21,38.7,38.98
2012-06-19,39.03,39.15,38.81,39.0
2012-06-20,38.94,39.15,38.74,39.02
2012-06-21,39.09,39.32,38.75,38.8
2012-06-22,38.87,38.97,38.75,38.85
2012-06-25,38.65,38.7,38.36,38.61
2012-06-26,38.33,38.33,37.8,37.8
2012-06-27,37.61,37.66,37.33,37.43
2012-06-28,37.23,37.74,37.13,37.71
2012-06-29,38.2,38.59,37.93,38.59
2012-07-16,39.88,39.92,39.43,39.6
2012-07-17,39.78,39.99,39.43,39.81
2012-07-18,39.81,40.01,39.71,39.96
2012-07-19,40.13,40.29,39.9,40.2
2012-07-20,40.01,40.25,39.59,40.07
2012-07-23,39.58,39.58,39.04,39.28
2012-07-24,39.27,39.32,38.9,39.11
2012-07-25,39.15,39.15,38.82,38.93
2012-07-26,39.45,39.75,39.29,39.43
2012-07-27,39.86,39.86,39.39,39.47
2012-07-30,39.56,39.66,39.45,39.52
2012-07-31,39.47,39.77,39.22,39.73
2012-08-01,39.8,39.94,39.25,39.39
2012-08-02,39.02,39.29,38.75,38.94
2012-08-03,39.95,40.89,39.94,40.51
2012-08-06,41.04,41.5,40.55,40.6
2012-08-07,40.78,40.98,40.6,40.87
2012-08-08,40.85,41.26,40.84,41.1
2012-08-09,41.07,41.24,40.65,41.07
2012-08-10,40.8,40.97,40.61,40.92
2012-08-13,40.96,41.1,40.87,41.0
2012-08-14,41.03,41.14,40.78,40.9
2012-08-15,40.89,40.94,40.55,40.7
2012-08-16,40.52,40.77,40.42,40.7
2012-08-17,40.74,40.74,40.32,40.5
2012-08-20,40.31,40.79,40.25,40.77
2012-08-21,40.71,41.4,40.68,41.11
2012-08-22,41.18,41.6,40.75,41.01
2012-08-23,40.93,41.39,40.81,41.27
2012-08-24,41.1,41.9,41.1,41.87
2012-08-27,41.84,41.9,41.66,41.73
