Date,Open,High,Low,Close
2012-01-02,80.28,80.39,80.15,80.18
2012-01-03,80.23,80.28,79.52,79.61
2012-01-04,79.66,80.33,79.55,80.13
2012-01-05,80.15,81.02,80.09,80.94
2012-01-06,80.9,81.38,80.78,81.25
2012-01-09,81.4,81.47,80.93,81.05
2012-01-10,80.92,81.08,80.72,80.81
2012-01-11,81.0,81.49,80.82,81.35
2012-01-12,81.24,81.36,80.7,80.77
2012-01-13,80.83,81.78,80.53,81.52
2012-01-16,81.7,81.7,81.32,81.52
2012-01-17,81.42,81.46,80.77,81.18
2012-01-18,81.09,81.12,80.47,80.61
2012-01-19,80.48,80.59,80.04,80.22
2012-01-20,80.09,80.44,80.0,80.22
2012-01-23,80.41,80.41,79.6,79.78
2012-01-24,79.75,80.18,79.64,79.87
2012-01-25,79.8,80.36,79.38,79.58
2012-01-26,79.5,79.54,79.07,79.39
2012-01-27,79.46,79.53,78.77,78.9
2012-01-30,78.8,79.46,78.8,79.17
2012-01-31,79.13,79.49,78.74,79.29
2012-02-01,79.32,79.57,78.62,78.92
2012-02-02,78.84,79.2,78.72,78.99
2012-02-03,79.01,79.36,78.75,78.92
2012-02-06,79.07,79.52,78.98,79.07
2012-02-07,79.08,79.27,78.49,78.58
2012-02-08,78.58,78.81,78.43,78.64
2012-02-09,78.67,78.78,78.36,78.57
2012-02-10,78.64,79.2,78.57,79.11
2012-02-13,78.92,79.16,78.61,78.95
2012-02-14,79.13,79.64,78.95,79.58
2012-02-15,79.41,79.74,79.1,79.67
2012-02-16,79.75,80.12,79.27,79.35
2012-02-17,79.39,79.48,79.15,79.33
2012-02-20,79.22,79.21,78.81,79.33
2012-02-21,79.14,79.26,78.8,79.04
2012-02-22,79.11,79.38,79.0,79.21
2012-02-23,79.21,79.29,78.6,78.82
2012-02-24,78.64,78.77,78.22,78.35
2012-02-27,78.38,78.68,78.37,78.57
2012-02-28,78.48,78.61,78.19,78.27
2012-02-29,78.18,78.87,78.09,78.74
2012-03-01,78.77,78.93,78.63,78.79
2012-03-02,78.77,79.45,78.72,79.4
2012-03-05,79.46,79.58,79.24,79.3
2012-03-06,79.32,79.87,79.29,79.87
2012-03-07,79.78,79.92,79.58,79.71
2012-03-08,79.75,79.78,79.07,79.14
2012-03-09,79.18,80.06,79.16,80.04
2012-03-12,80.03,80.13,79.83,79.89
2012-03-13,79.85,80.32,79.67,80.19
2012-03-14,80.13,80.63,80.13,80.56
2012-03-15,80.55,80.74,80.04,80.15
2012-03-16,80.25,80.42,79.69,79.79
2012-03-19,79.77,79.89,79.35,79.79
2012-03-20,79.48,79.84,79.43,79.59
2012-03-21,79.57,79.83,79.31,79.66
2012-03-22,79.62,79.95,79.42,79.74
2012-03-23,79.67,79.75,79.21,79.34
2012-03-26,79.31,79.72,78.87,78.98
2012-03-27,78.94,79.17,78.77,79.05
2012-03-28,79.12,79.34,78.88,79.13
2012-03-29,79.16,79.35,78.96,79.19
2012-03-30,79.08,79.08,78.73,79.0
2012-04-02,78.89,79.13,78.79,78.82
2012-04-03,78.86,79.5,78.66,79.48
2012-04-04,79.41,79.92,79.39,79.78
2012-04-05,79.73,80.18,79.62,80.08
2012-04-06,80.06,80.12,79.74,79.89
2012-04-09,79.8,80.1,79.65,79.73
2012-04-10,79.73,80.02,79.6,79.89
2012-04-11,79.89,79.95,79.51,79.8
2012-04-12,79.71,79.77,79.21,79.28
2012-04-13,79.37,79.92,79.29,79.89
2012-04-16,79.92,80.18,79.5,79.56
2012-04-17,79.55,79.76,79.39,79.48
2012-04-18,79.56,79.86,79.48,79.54
2012-04-19,79.58,79.83,79.39,79.56
2012-04-20,79.55,79.61,79.11,79.19
2012-04-23,79.37,79.65,79.2,79.42
2012-04-24,79.37,79.43,79.09,79.22
2012-04-25,79.19,79.31,79.0,79.01
2012-04-26,79.03,79.19,78.82,78.92
2012-04-27,79.18,79.26,78.67,78.71
2012-04-30,78.8,78.92,78.64,78.78
2012-05-01,78.78,78.98,78.6,78.86
2012-05-02,78.83,79.32,78.81,79.13
2012-05-03,79.17,79.42,79.08,79.22
2012-05-04,79.21,79.52,79.09,79.5
2012-05-07,79.76,80.03,79.53,79.6
2012-05-08,79.58,79.96,79.56,79.74
2012-05-09,79.9,80.27,79.87,80.08
2012-05-10,80.12,80.22,79.95,80.11
2012-05-11,80.21,80.34,80.08,80.26
2012-05-14,80.35,80.73,80.36,80.61
2012-05-15,80.67,81.29,80.48,81.22
2012-05-16,81.23,81.57,81.18,81.37
2012-05-17,81.4,81.68,81.24,81.38
2012-05-18,81.51,81.76,81.01,81.29
2012-05-21,81.11,81.39,80.9,81.08
2012-05-22,80.97,81.77,80.95,81.49
2012-05-23,81.7,82.22,81.57,82.09
2012-05-24,81.99,82.38,81.84,82.35
2012-05-25,82.3,82.46,81.99,82.4
2012-05-28,82.08,82.3,81.83,82.4
2012-05-29,82.24,82.61,82.03,82.48
2012-05-30,82.51,83.11,82.48,83.02
2012-05-31,83.1,83.22,82.72,83.04
2012-06-01,83.07,83.54,82.65,82.89
2012-06-04,82.91,83.08,82.47,82.56
2012-06-05,82.51,82.94,82.31,82.83
2012-06-06,82.78,82.82,82.12,82.32
2012-06-07,82.21,82.39,81.91,82.05
2012-06-08,82.23,82.89,82.23,82.51
2012-06-11,81.92,82.73,81.78,82.52
2012-06-12,82.61,82.73,82.33,82.42
2012-06-13,82.4,82.58,81.92,82.06
2012-06-14,82.17,82.3,81.8,81.99
2012-06-15,81.86,81.94,81.48,81.63
2012-06-18,81.34,82.07,81.27,81.95
2012-06-19,81.89,81.99,81.19,81.38
2012-06-20,81.42,81.74,81.22,81.58
2012-06-21,81.48,82.4,81.22,82.29
2012-06-22,82.28,82.47,82.16,82.26
2012-06-25,82.34,82.63,82.32,82.5
2012-06-26,82.43,82.68,82.25,82.37
2012-06-27,82.41,82.7,82.3,82.62
2012-06-28,82.53,82.88,82.24,82.81
2012-06-29,82.75,82.74,81.43,81.63
2012-07-02,81.56,81.96,81.53,81.87
2012-07-03,81.9,82.03,81.7,81.78
2012-07-04,81.81,82.25,81.8,81.78
2012-07-05,82.19,82.95,82.08,82.81
2012-07-06,82.83,83.43,82.75,83.38
2012-07-09,83.38,83.43,83.09,83.16
2012-07-10,83.1,83.49,82.98,83.4
2012-07-11,83.4,83.61,83.11,83.57
2012-07-12,83.45,83.83,83.42,83.66
2012-07-13,83.62,83.78,83.27,83.35
2012-07-16,83.23,83.64,83.02,83.1
2012-07-17,83.14,83.56,82.91,83.03
