Date,Urea
2012-01-01,368.0
2012-02-01,375.0
2012-03-01,393.13
2012-04-01,494.38
2012-05-01,513.13
2012-06-01,456.88
2012-07-01,307.5
2012-08-01,382.5
2012-09-01,384.38
2012-10-01,349.0
2012-11-01,383.5
2012-12-01,375.83
2013-01-01,380.0
2013-02-01,415.63
2013-03-01,395.63
2013-04-01,365.63
2013-05-01,358.13
2013-06-01,329.38
2013-07-01,312.5
2013-08-01,310.63
2013-09-01,301.0
2013-10-01,296.88
2013-11-01,305.0
2013-12-01,305.0
2014-01-01,330.0
2014-02-01,353.13
2014-03-01,327.5
2014-04-01,260.0
2014-05-01,265.0
2014-06-01,288.75
2014-07-01,305.0
2014-08-01,311.25
2014-09-01,317.5
2014-10-01,317.5
2014-11-01,317.5
2014-12-01,308.13
2015-01-01,305.0
2015-02-01,305.0
2015-03-01,295.5
2015-04-01,260.0
2015-05-01,265.0
2015-06-01,288.75
2015-07-01,283.75
2015-08-01,274.63
2015-09-01,279.38
2015-10-01,250.63
2015-11-01,263.63
2015-12-01,264.0
2016-01-01,233.88
2016-02-01,191.88
2016-03-01,201.75
2016-04-01,196.25
2016-05-01,198.38
2016-06-01,142.63
2016-07-01,181.0
2016-08-01,186.25
2016-09-01,187.3
2016-10-01,187.5
2016-11-01,205.0
2016-12-01,217.75
2017-01-01,233.75
2017-02-01,191.88
2017-03-01,223.5
2017-04-01,207.88
2017-05-01,178.75
2017-06-01,191.0
2017-07-01,181.0
2017-08-01,192.63
2017-09-01,219.0
2017-10-01,252.5
2017-11-01,280.0
2017-12-01,214.63
2018-01-01,219.63
2018-02-01,232.5
2018-03-01,232.5
2018-04-01,230.63
2018-05-01,221.88
2018-06-01,224.0
2018-07-01,252.5
2018-08-01,260.0
2018-09-01,267.5
2018-10-01,270.0
2018-11-01,305.6
2018-12-01,276.67
2019-01-01,260.0
2019-02-01,250.63
2019-03-01,247.5
2019-04-01,247.5
2019-05-01,247.5
2019-06-01,247.5
2019-07-01,263.5
2019-08-01,262.5
2019-09-01,237.75
2019-10-01,237.0
2019-11-01,224.5
2019-12-01,217.5
2020-01-01,215.4
2020-02-01,214.38
2020-03-01,231.13
2020-04-01,235.0
2020-05-01,201.9
2020-06-01,202.0
2020-07-01,214.4
2020-08-01,249.5
2020-09-01,250.5
2020-10-01,245.0
2020-11-01,245.0
2020-12-01,245.0
2021-01-01,265.0
2021-02-01,335.0
2021-03-01,352.88
2021-04-01,328.1
2021-05-01,331.63
2021-06-01,393.25
2021-07-01,441.5
2021-08-01,446.88
2021-09-01,418.75
2021-10-01,695.0
2021-11-01,900.5
2021-12-01,890.0
2022-01-01,846.38
