Date,Dollar
2012-01-02,80.18
2012-01-03,79.61
2012-01-04,80.13
2012-01-05,80.94
2012-01-06,81.25
2012-01-09,81.05
2012-01-10,80.81
2012-01-11,81.35
2012-01-12,80.77
2012-01-13,81.52
2012-01-16,81.52
2012-01-17,81.18
2012-01-18,80.61
2012-01-19,80.22
2012-01-20,80.22
2012-01-23,79.78
2012-01-24,79.87
2012-01-25,79.58
2012-01-26,79.39
2012-01-27,78.9
2012-01-30,79.17
2012-01-31,79.29
2012-02-01,78.92
2012-02-02,78.99
2012-02-03,78.92
2012-02-06,79.07
2012-02-07,78.58
2012-02-08,78.64
2012-02-09,78.57
2012-02-10,79.11
2012-02-13,78.95
2012-02-14,79.58
2012-02-15,79.67
2012-02-16,79.35
2012-02-17,79.33
2012-02-20,79.33
2012-02-21,79.04
2012-02-22,79.21
2012-02-23,78.82
2012-02-24,78.35
2012-02-27,78.57
2012-02-28,78.27
2012-02-29,78.74
2012-03-01,78.79
2012-03-02,79.4
2012-03-05,79.3
2012-03-06,79.87
2012-03-07,79.71
2012-03-08,79.14
2012-03-09,80.04
2012-03-12,79.89
2012-03-13,80.19
2012-03-14,80.56
2012-03-15,80.15
2012-03-16,79.79
2012-03-19,79.79
2012-03-20,79.59
2012-03-21,79.66
2012-03-22,79.74
2012-03-23,79.34
2012-03-26,78.98
2012-03-27,79.05
2012-03-28,79.13
2012-03-29,79.19
2012-03-30,79.0
2012-04-02,78.82
2012-04-03,79.48
2012-04-04,79.78
2012-04-05,80.08
2012-04-06,79.89
2012-04-09,79.73
2012-04-10,79.89
2012-04-11,79.8
2012-04-12,79.28
2012-04-13,79.89
2012-04-16,79.56
2012-04-17,79.48
2012-04-18,79.54
2012-04-19,79.56
2012-04-20,79.19
2012-04-23,79.42
2012-04-24,79.22
2012-04-25,79.01
2012-04-26,78.92
2012-04-27,78.71
2012-04-30,78.78
2012-05-01,78.86
2012-05-02,79.13
2012-05-03,79.22
2012-05-04,79.5
2012-05-07,79.6
2012-05-08,79.74
2012-05-09,80.08
2012-05-10,80.11
2012-05-11,80.26
2012-05-14,80.61
2012-05-15,81.22
2012-05-16,81.37
2012-05-17,81.38
2012-05-18,81.29
2012-05-21,81.08
2012-05-22,81.49
2012-05-23,82.09
2012-05-24,82.35
2012-05-25,82.4
2012-05-28,82.4
2012-05-29,82.48
2012-05-30,83.02
2012-05-31,83.04
2012-06-01,82.89
2012-06-04,82.56
2012-06-05,82.83
2012-06-06,82.32
2012-06-07,82.05
2012-06-08,82.51
2012-06-11,82.52
2012-06-12,82.42
2012-06-13,82.06
2012-06-14,81.99
2012-06-15,81.63
2012-06-18,81.95
2012-06-19,81.38
2012-06-20,81.58
2012-06-21,82.29
2012-06-22,82.26
2012-06-25,82.5
2012-06-26,82.37
2012-06-27,82.62
2012-06-28,82.81
2012-06-29,81.63
2012-07-02,81.87
2012-07-03,81.78
2012-07-04,81.78
2012-07-05,82.81
2012-07-06,83.38
2012-07-09,83.16
2012-07-10,83.4
2012-07-11,83.57
2012-07-12,83.66
2012-07-13,83.35
2012-07-16,83.1
2012-07-17,83.03
2012-07-18,83.07
2012-07-19,82.88
2012-07-20,83.48
2012-07-23,83.71
2012-07-24,84.0
2012-07-25,83.52
2012-07-26,82.81
2012-07-27,82.71
2012-07-30,82.79
2012-07-31,82.64
2012-08-01,83.06
2012-08-02,83.36
2012-08-03,82.38
2012-08-06,82.27
2012-08-07,82.21
2012-08-08,82.39
2012-08-09,82.64
2012-08-10,82.55
2012-08-13,82.44
2012-08-14,82.48
2012-08-15,82.64
2012-08-16,82.36
2012-08-17,82.6
2012-08-20,82.46
2012-08-21,81.91
2012-08-22,81.49
2012-08-23,81.36
2012-08-24,81.59
2012-08-27,81.66
2012-08-28,81.37
2012-08-29,81.55
2012-08-30,81.69
2012-08-31,81.21
2012-09-03,81.21
2012-09-04,81.31
2012-09-05,81.23
2012-09-06,81.04
2012-09-07,80.25
2012-09-10,80.25
2012-09-11,79.86
2012-09-12,79.74
2012-09-13,79.26
2012-09-14,78.85
2012-09-17,79.01
2012-09-18,79.25
2012-09-19,79.06
2012-09-20,79.41
2012-09-21,79.33
2012-09-24,79.52
2012-09-25,79.55
2012-09-26,79.89
2012-09-27,79.55
2012-09-28,79.94
2012-10-01,79.82
2012-10-02,79.74
2012-10-03,79.97
2012-10-04,79.35
2012-10-05,79.34
2012-10-08,79.54
2012-10-09,79.95
2012-10-10,79.92
2012-10-11,79.78
2012-10-12,79.67
2012-10-15,79.74
2012-10-16,79.41
2012-10-17,79.02
2012-10-18,79.37
2012-10-19,79.62
2012-10-22,79.65
2012-10-23,79.98
2012-10-24,79.91
2012-10-25,80.04
2012-10-26,80.07
2012-10-29,80.23
2012-10-30,79.93
2012-10-31,79.92
2012-11-01,80.05
2012-11-02,80.59
2012-11-05,80.75
2012-11-06,80.61
2012-11-07,80.76
2012-11-08,80.79
2012-11-09,81.03
2012-11-12,81.03
2012-11-13,81.08
2012-11-14,81.06
2012-11-15,81.08
2012-11-16,81.26
2012-11-19,80.87
2012-11-20,80.96
2012-11-21,80.93
2012-11-22,80.93
2012-11-23,80.19
2012-11-26,80.25
2012-11-27,80.4
2012-11-28,80.34
2012-11-29,80.2
2012-11-30,80.15
2012-12-03,79.88
2012-12-04,79.64
2012-12-05,79.77
2012-12-06,80.26
2012-12-07,80.41
2012-12-10,80.33
2012-12-11,80.06
2012-12-12,79.81
2012-12-13,79.93
2012-12-14,79.58
2012-12-17,79.57
2012-12-18,79.36
2012-12-19,79.27
2012-12-20,79.26
2012-12-21,79.62
2012-12-24,79.64
2012-12-25,79.64
2012-12-26,79.62
2012-12-27,79.62
2012-12-28,79.68
2012-12-31,79.77
2013-01-01,79.77
2013-01-02,79.84
2013-01-03,80.38
2013-01-04,80.5
2013-01-07,80.26
2013-01-08,80.34
2013-01-09,80.56
2013-01-10,79.74
2013-01-11,79.56
2013-01-14,79.49
2013-01-15,79.78
2013-01-16,79.8
2013-01-17,79.65
2013-01-18,80.04
2013-01-21,80.04
2013-01-22,79.87
2013-01-23,79.92
2013-01-24,79.95
2013-01-25,79.75
2013-01-28,79.75
2013-01-29,79.56
2013-01-30,79.28
2013-01-31,79.21
2013-02-01,79.21
2013-02-04,79.55
2013-02-05,79.49
2013-02-06,79.72
2013-02-07,80.19
2013-02-08,80.21
2013-02-11,80.31
2013-02-12,80.11
2013-02-13,80.09
2013-02-14,80.46
