Date,Value,Anomaly
199201,2.12,1
199202,2.03,0.76
199203,1.83,0.71
199204,1.24,0.09
199205,0.72,-0.54
199206,1.66,0.41
199207,2.92,1.5
199208,3.78,2.32
199209,3.25,1.84
199210,2.53,1.2
199211,3.35,2.24
199212,3.71,2.59
199301,4,2.88
199302,4.57,3.3
199303,4.74,3.62
199304,4.76,3.61
199305,4.75,3.49
199306,5.28,4.03
199307,7.48,6.06
199308,8.58,7.12
199309,8.39,6.98
199310,7.88,6.55
199311,7.61,6.5
199312,7.27,6.15
199401,7.05,5.93
199402,6.94,5.67
199403,6.15,5.03
199404,6.12,4.97
199405,5.08,3.82
199406,4.15,2.9
199407,4.35,2.93
199408,3.75,2.29
199409,2.9,1.49
199410,3.48,2.15
199411,3.8,2.69
199412,3.59,2.47
199501,3.43,2.31
199502,2.86,1.59
199503,3.04,1.92
199504,3.56,2.41
199505,5.45,4.19
199506,5.63,4.38
199507,6.18,4.76
199508,6.09,4.63
199509,5.98,4.57
199510,5.34,4.01
199511,4.48,3.37
199512,3.89,2.77
199601,3.51,2.39
199602,2.65,1.38
199603,2.34,1.22
199604,1.56,0.41
199605,1.55,0.29
199606,0.94,-0.31
199607,1.09,-0.33
199608,1.73,0.27
199609,2.7,1.29
199610,2.5,1.17
199611,3.4,2.29
199612,3.14,2.02
199701,2.95,1.83
199702,3.75,2.48
199703,3.11,1.99
199704,4.25,3.1
199705,3.89,2.63
199706,3.93,2.68
199707,4.57,3.15
199708,5.16,3.7
199709,4.46,3.05
199710,4.62,3.29
199711,4.13,3.02
199712,4.5,3.38
199801,4.51,3.39
199802,4.44,3.17
199803,5.22,4.1
199804,4.61,3.46
199805,3.14,1.88
199806,2.89,1.64
199807,3.09,1.67
199808,2.78,1.32
199809,1.63,0.22
199810,3.1,1.77
199811,3.54,2.43
199812,3.42,2.3
199901,3.72,2.6
199902,3.08,1.81
199903,2.96,1.84
199904,3.97,2.82
199905,4.45,3.19
199906,4.93,3.68
199907,5.05,3.63
199908,5.04,3.58
199909,4.82,3.41
199910,-0.54,-1.87
199911,-1.53,-2.64
199912,-1.5,-2.62
200001,-1.65,-2.77
200002,-1.71,-2.98
200003,-1.45,-2.57
200004,-1.61,-2.76
200005,-2.26,-3.52
200006,-1.76,-3.01
200007,-1.89,-3.31
200008,-3.13,-4.59
200009,-3.82,-5.23
200010,0.79,-0.54
200011,1.76,0.65
200012,1.7,0.58
200101,2.02,0.9
200102,2.76,1.49
200103,2.78,1.66
200104,2.45,1.3
200105,2.42,1.16
200106,2.07,0.82
200107,2.3,0.88
200108,-0.48,-1.94
200109,-0.52,-1.93
200110,-0.83,-2.16
200111,-1.04,-2.15
200112,-1.27,-2.39
200201,-1.28,-2.4
200202,-1.65,-2.92
200203,-1.49,-2.61
200204,-1.72,-2.87
200205,-2.21,-3.47
200206,-2.95,-4.2
200207,-3.48,-4.9
200208,-3.2,-4.66
200209,-3.41,-4.82
200210,-1.88,-3.21
200211,-2.22,-3.33
200212,-1.85,-2.97
200301,-2.07,-3.19
200302,-1.78,-3.05
200303,-1.61,-2.73
200304,-1.72,-2.87
200305,-1.85,-3.11
200306,-1.13,-2.38
200307,-2.03,-3.45
200308,-2.57,-4.03
200309,-2.45,-3.86
200310,-2.82,-4.15
200311,-2.68,-3.79
200312,-2.74,-3.86
200401,-2.5,-3.62
200402,-2.16,-3.43
200403,-2.21,-3.33
200404,-2.09,-3.24
200405,-2.62,-3.88
200406,0.34,-0.91
200407,0.85,-0.57
200408,1.04,-0.42
200409,1.09,-0.32
200410,1.54,0.21
200411,2.4,1.29
200412,1.97,0.85
200501,2.44,1.32
200502,2.43,1.16
200503,2.16,1.04
200504,1.72,0.57
200505,1.64,0.38
200506,2.28,1.03
200507,2.18,0.76
200508,2.89,1.43
200509,-0.77,-2.18
200510,-0.59,-1.92
200511,-1.04,-2.15
200512,-1.4,-2.52
200601,-2.01,-3.13
200602,-2.51,-3.78
200603,-2.53,-3.65
200604,-2.94,-4.09
200605,-4.1,-5.36
200606,-5.11,-6.36
200607,-6.28,-7.7
200608,-5.73,-7.19
200609,0.38,-1.03
200610,0.61,-0.72
200611,0.06,-1.05
200612,0.7,-0.42
200701,0.72,-0.4
200702,0.53,-0.74
200703,0.79,-0.33
200704,1.1,-0.05
200705,2.34,1.08
200706,3.05,1.8
200707,3.49,2.07
200708,3.75,2.29
200709,3.18,1.77
200710,2.97,1.64
200711,1.94,0.83
200712,2.11,0.99
200801,1.46,0.34
200802,1.25,-0.02
200803,1.03,-0.09
200804,1.03,-0.12
200805,1.58,0.32
200806,1.78,0.53
200807,1.82,0.4
