Date,Copper
2012-01-03,3.525
2012-01-04,3.429
2012-01-05,3.422
2012-01-06,3.431
2012-01-09,3.413
2012-01-10,3.51
2012-01-11,3.542
2012-01-12,3.644
2012-01-13,3.632
2012-01-17,3.726
2012-01-18,3.747
2012-01-19,3.797
2012-01-20,3.741
2012-01-23,3.795
2012-01-24,3.804
2012-01-25,3.825
2012-01-26,3.897
2012-01-27,3.884
2012-01-30,3.822
2012-01-31,3.788
2012-02-01,3.838
2012-02-02,3.777
2012-02-03,3.897
2012-02-06,3.859
2012-02-07,3.873
2012-02-08,3.906
2012-02-09,3.974
2012-02-10,3.86
2012-02-13,3.837
2012-02-14,3.812
2012-02-15,3.798
2012-02-16,3.788
2012-02-17,3.705
2012-02-21,3.833
2012-02-22,3.83
2012-02-23,3.804
2012-02-24,3.862
2012-02-27,3.88
2012-02-28,3.912
2012-02-29,3.87
2012-03-01,3.925
2012-03-02,3.896
2012-03-05,3.853
2012-03-06,3.731
2012-03-07,3.76
2012-03-08,3.786
2012-03-09,3.853
2012-03-12,3.832
2012-03-13,3.897
2012-03-14,3.842
2012-03-15,3.892
2012-03-16,3.874
2012-03-19,3.906
2012-03-20,3.828
2012-03-21,3.849
2012-03-22,3.768
2012-03-23,3.809
2012-03-26,3.885
2012-03-27,3.879
2012-03-28,3.787
2012-03-29,3.794
2012-03-30,3.824
2012-04-02,3.918
2012-04-03,3.916
2012-04-04,3.785
2012-04-05,3.792
2012-04-09,3.716
2012-04-10,3.646
2012-04-11,3.636
2012-04-12,3.716
2012-04-13,3.623
2012-04-16,3.624
2012-04-17,3.644
2012-04-18,3.628
2012-04-19,3.627
2012-04-20,3.696
2012-04-23,3.623
2012-04-24,3.671
2012-04-25,3.7
2012-04-26,3.768
2012-04-27,3.82
2012-04-30,3.833
2012-05-01,3.84
2012-05-02,3.785
2012-05-03,3.733
2012-05-04,3.724
2012-05-07,3.777
2012-05-08,3.686
2012-05-09,3.67
2012-05-10,3.692
2012-05-11,3.648
2012-05-14,3.557
2012-05-15,3.522
2012-05-16,3.485
2012-05-17,3.479
2012-05-18,3.47
2012-05-21,3.504
2012-05-22,3.487
2012-05-23,3.398
2012-05-24,3.429
2012-05-25,3.448
2012-05-29,3.463
2012-05-30,3.386
2012-05-31,3.362
2012-06-01,3.31
2012-06-04,3.304
2012-06-05,3.288
2012-06-06,3.379
2012-06-07,3.369
2012-06-08,3.284
2012-06-11,3.345
2012-06-12,3.334
2012-06-13,3.34
2012-06-14,3.354
2012-06-15,3.385
2012-06-18,3.396
2012-06-19,3.433
2012-06-20,3.386
2012-06-21,3.295
2012-06-22,3.305
2012-06-25,3.314
2012-06-26,3.316
2012-06-27,3.346
2012-06-28,3.326
2012-06-29,3.49
2012-07-02,3.465
2012-07-03,3.534
2012-07-05,3.488
2012-07-06,3.405
2012-07-09,3.426
2012-07-10,3.393
2012-07-11,3.443
2012-07-12,3.412
2012-07-13,3.501
2012-07-16,3.481
2012-07-17,3.453
2012-07-18,3.473
2012-07-19,3.534
2012-07-20,3.449
2012-07-23,3.381
2012-07-24,3.353
2012-07-25,3.375
2012-07-26,3.394
2012-07-27,3.426
2012-07-30,3.415
2012-07-31,3.42
2012-08-01,3.377
2012-08-02,3.292
2012-08-03,3.371
2012-08-06,3.393
2012-08-07,3.445
2012-08-08,3.428
2012-08-09,3.437
2012-08-10,3.409
2012-08-13,3.358
2012-08-14,3.36
2012-08-15,3.352
2012-08-16,3.386
2012-08-17,3.422
2012-08-20,3.373
2012-08-21,3.457
2012-08-22,3.46
2012-08-23,3.496
2012-08-24,3.488
2012-08-27,3.485
2012-08-28,3.47
2012-08-29,3.462
2012-08-30,3.441
2012-08-31,3.454
2012-09-04,3.469
2012-09-05,3.532
2012-09-06,3.523
2012-09-07,3.656
2012-09-10,3.7
2012-09-11,3.715
2012-09-12,3.71
2012-09-13,3.727
2012-09-14,3.852
2012-09-17,3.81
2012-09-18,3.803
2012-09-19,3.829
2012-09-20,3.772
2012-09-21,3.804
2012-09-24,3.745
2012-09-25,3.773
2012-09-26,3.714
2012-09-27,3.748
2012-09-28,3.773
2012-10-01,3.793
2012-10-02,3.807
2012-10-03,3.794
2012-10-04,3.794
2012-10-05,3.786
2012-10-08,3.727
2012-10-09,3.729
2012-10-10,3.729
2012-10-11,3.759
2012-10-12,3.715
2012-10-15,3.712
2012-10-16,3.708
2012-10-17,3.752
2012-10-18,3.747
2012-10-19,3.648
2012-10-22,3.626
2012-10-23,3.576
2012-10-24,3.576
2012-10-25,3.564
2012-10-26,3.563
2012-10-29,3.5
2012-10-30,3.506
2012-10-31,3.527
2012-11-01,3.555
2012-11-02,3.483
2012-11-05,3.47
2012-11-06,3.506
2012-11-07,3.443
2012-11-08,3.47
2012-11-09,3.45
2012-11-12,3.473
2012-11-13,3.473
2012-11-14,3.455
2012-11-15,3.465
2012-11-16,3.454
2012-11-19,3.527
2012-11-20,3.515
2012-11-21,3.496
2012-11-23,3.527
2012-11-26,3.536
2012-11-27,3.537
2012-11-28,3.522
2012-11-29,3.588
2012-11-30,3.63
2012-12-03,3.64
2012-12-04,3.634
2012-12-05,3.667
2012-12-06,3.627
2012-12-07,3.647
2012-12-10,3.691
2012-12-11,3.671
2012-12-12,3.7
2012-12-13,3.644
2012-12-14,3.665
2012-12-17,3.649
2012-12-18,3.636
2012-12-19,3.595
2012-12-20,3.525
2012-12-21,3.555
2012-12-24,3.534
2012-12-26,3.583
2012-12-27,3.59
2012-12-28,3.578
2012-12-31,3.641
2013-01-02,3.724
2013-01-03,3.701
2013-01-04,3.679
2013-01-06,3.679
2013-01-07,3.663
2013-01-08,3.657
2013-01-09,3.656
2013-01-10,3.695
2013-01-11,3.639
2013-01-13,3.639
2013-01-14,3.619
2013-01-15,3.623
2013-01-16,3.591
2013-01-17,3.647
2013-01-18,3.663
2013-01-20,3.663
2013-01-22,3.691
2013-01-23,3.671
2013-01-24,3.664
2013-01-25,3.639
2013-01-27,3.639
2013-01-28,3.649
2013-01-29,3.678
2013-01-30,3.74
2013-01-31,3.724
2013-02-01,3.776
2013-02-03,3.776
2013-02-04,3.759
2013-02-05,3.761
2013-02-06,3.733
2013-02-07,3.72
2013-02-08,3.753
2013-02-11,3.718
2013-02-12,3.736
2013-02-13,3.734
2013-02-14,3.73
2013-02-15,3.731
2013-02-19,3.644
2013-02-20,3.606
2013-02-21,3.55
2013-02-22,3.53
2013-02-25,3.541
2013-02-26,3.567
2013-02-27,3.545
2013-02-28,3.527
2013-03-01,3.482
2013-03-04,3.483
2013-03-05,3.497
2013-03-06,3.474
2013-03-07,3.502
2013-03-08,3.491
2013-03-11,3.5
2013-03-12,3.538
2013-03-13,3.51
2013-03-14,3.523
2013-03-15,3.508
2013-03-18,3.417
2013-03-19,3.396
2013-03-20,3.436
2013-03-21,3.423
2013-03-22,3.454
2013-03-25,3.435
2013-03-26,3.433
2013-03-27,3.435
2013-03-28,3.395
2013-04-01,3.368
2013-04-02,3.372
2013-04-03,3.325
2013-04-04,3.345
2013-04-05,3.34
2013-04-08,3.368
2013-04-09,3.438
2013-04-10,3.414
2013-04-11,3.428
2013-04-12,3.349
2013-04-15,3.28
2013-04-16,3.307
2013-04-17,3.188
2013-04-18,3.204
2013-04-19,3.151
2013-04-22,3.132
2013-04-23,3.094
2013-04-24,3.158
2013-04-25,3.238
2013-04-26,3.185
2013-04-29,3.225
2013-04-30,3.188
2013-05-01,3.083
2013-05-02,3.104
2013-05-03,3.313
2013-05-06,3.31
2013-05-07,3.3
2013-05-08,3.371
2013-05-09,3.341
2013-05-10,3.356
2013-05-13,3.362
2013-05-14,3.291
2013-05-15,3.267
2013-05-16,3.292
2013-05-17,3.321
2013-05-20,3.357
2013-05-21,3.339
2013-05-22,3.377
2013-05-23,3.3
2013-05-24,3.292
2013-05-28,3.312
2013-05-29,3.291
2013-05-30,3.311
2013-05-31,3.289
2013-06-03,3.327
2013-06-04,3.365
2013-06-05,3.367
2013-06-06,3.316
2013-06-07,3.266
2013-06-10,3.239
2013-06-11,3.193
2013-06-12,3.225
2013-06-13,3.185
2013-06-14,3.204
2013-06-17,3.202
2013-06-18,3.157
2013-06-19,3.143
2013-06-20,3.062
2013-06-21,3.096
2013-06-24,3.026
2013-06-25,3.071
2013-06-26,3.041
2013-06-27,3.053
2013-06-28,3.05
2013-07-01,3.155
2013-07-02,3.142
2013-07-03,3.174
2013-07-05,3.08
2013-07-08,3.111
2013-07-09,3.076
2013-07-10,3.101
2013-07-11,3.183
2013-07-12,3.171
2013-07-15,3.161
2013-07-16,3.2
2013-07-17,3.14
2013-07-18,3.143
2013-07-19,3.15
2013-07-22,3.189
2013-07-23,3.198
2013-07-24,3.182
2013-07-25,3.188
2013-07-26,3.109
2013-07-29,3.116
2013-07-30,3.041
2013-07-31,3.119
2013-08-01,3.164
2013-08-02,3.17
2013-08-05,3.167
2013-08-06,3.172
2013-08-07,3.178
2013-08-08,3.271
2013-08-09,3.308
2013-08-12,3.307
2013-08-13,3.318
2013-08-14,3.341
2013-08-15,3.338
2013-08-16,3.365
2013-08-19,3.337
2013-08-20,3.34
2013-08-21,3.312
2013-08-22,3.333
2013-08-23,3.352
2013-08-26,3.322
2013-08-27,3.333
2013-08-28,3.307
2013-08-29,3.244
2013-08-30,3.225
2013-09-03,3.296
2013-09-04,3.236
2013-09-05,3.241
2013-09-06,3.258
2013-09-09,3.276
2013-09-10,3.261
2013-09-11,3.256
2013-09-12,3.212
2013-09-13,3.207
2013-09-16,3.227
2013-09-17,3.228
2013-09-18,3.284
2013-09-19,3.35
2013-09-20,3.328
2013-09-23,3.308
2013-09-24,3.265
2013-09-25,3.28
2013-09-26,3.304
2013-09-27,3.325
